n04403638	telescope, scope
n03376279	folder
n11723227	monkshood, helmetflower, helmet flower, Aconitum napellus
n12686676	herb robert, herbs robert, herb roberts, Geranium robertianum
n03225988	double bed
n03227184	double-hung window
n03198500	dildo
n04568557	web, entanglement
n03309356	eyepatch, patch
n02895438	breathalyzer, breathalyser
n03553248	hydrogen bomb, H-bomb, fusion bomb, thermonuclear bomb
n02810782	battery, stamp battery
n04200800	shoe shop, shoe-shop, shoe store
n02580830	horse mackerel, saurel, Trachurus trachurus
n02692877	airship, dirigible
n01772664	orb-weaving spider
n10523341	reservist
n04370288	sweat pants, sweatpants
n10205457	infielder
n02903852	broadcloth
n04329477	storeroom, storage room, stowage
n01669372	Western box turtle, Terrapene ornata
n12050959	helleborine
n04265275	space heater
n01527917	skylark, Alauda arvensis
n03986704	portico
n04487724	troop carrier, troop transport
n07888465	Weissbier, white beer, wheat beer
n02126787	manul, Pallas's cat, Felis manul
n10505613	raiser
n11625003	Norway spruce, Picea abies
n04405762	television monitor, tv monitor
n01389507	protozoan, protozoon
n11819509	Hottentot fig, Hottentot's fig, sour fig, Carpobrotus edulis, Mesembryanthemum edule
n05453657	neutrophil, neutrophile
n01739381	vine snake
n03202940	diode, rectifying tube, rectifying valve
n13013764	parasol mushroom, Lepiota procera
n12865562	purple sage, chaparral sage, Salvia leucophylla
n02694045	aisle
n13111881	bonsai
n12866635	wild sage, wild clary, vervain sage, Salvia verbenaca
n12066018	bog rein orchid, bog candles, Habenaria dilatata
n13018407	Tricholoma aurantium
n03653110	leatherette, imitation leather
n02419336	chamois, Rupicapra rupicapra
n01578180	hill myna, Indian grackle, grackle, Gracula religiosa
n02966687	carpenter's kit, tool kit
n04549122	wall unit
n03344305	fire bell
n04373428	switch engine, donkey engine
n02760855	automatic rifle, automatic, machine rifle
n02229544	cricket
n02157206	hexapod
n02917607	bullnose, bullnosed plane
n02089867	Walker hound, Walker foxhound
n03216710	Dixie cup, paper cup
n13108545	shade tree
n07879450	sushi
n12270741	European turkey oak, turkey oak, Quercus cerris
n07871234	macaroni and cheese
n02009912	American egret, great white heron, Egretta albus
n11994150	tarweed
n03790512	motorcycle, bike
n09944022	commissioner
n03250279	drumhead, head
n04139395	sauna, sweat room
n02470238	simian
n03625646	knitting needle
n03664943	ligament
n07690152	hamburger bun, hamburger roll
n11955896	mistflower, mist-flower, ageratum, Conoclinium coelestinum, Eupatorium coelestinum
n04511002	university
n01910747	jellyfish
n03162460	darkroom
n03097362	control center
n07912211	highball
n02361587	groundhog, woodchuck, Marmota monax
n02128757	snow leopard, ounce, Panthera uncia
n03257210	duplex house, duplex, semidetached house
n03574555	institution
n07814390	stick cinnamon
n03863923	overgarment, outer garment
n02751215	astrolabe
n02444819	otter
n02769748	backpack, back pack, knapsack, packsack, rucksack, haversack
n04603399	workstation
n02099601	golden retriever
n07935737	bottled water
n08583455	heronry
n12811027	moss pink, mountain phlox, moss phlox, dwarf phlox, Phlox subulata
n09971273	countrywoman
n02713364	anklet
n02146371	brown bat
n02753394	atomic clock
n10189278	house physician, resident, resident physician
n04444749	toecap
n02695627	alcazar
n03766322	millinery, woman's hat
n03652729	lean-to
n02295064	noctuid moth, noctuid, owlet moth
n02956699	capitol
n04435870	tilter
n04288533	spring balance, spring scale
n03746330	man's clothing
n12573474	false lupine, golden pea, yellow pea, Thermopsis macrophylla
n07821260	sweet woodruff, waldmeister
n12164363	sweet melon, muskmelon, sweet melon vine, Cucumis melo
n07887461	bock, bock beer
n02330245	mouse
n07694516	buttermilk biscuit, soda biscuit
n04562496	waterspout
n07577144	fish fry
n02657368	flatfish
n07711080	french fries, french-fried potatoes, fries, chips
n11921395	pearly everlasting, cottonweed, Anaphalis margaritacea
n04355511	sundress
n03710637	maillot
n02801525	basin
n01314388	pest
n11625804	black spruce, Picea mariana, spruce pine
n09934337	cog
n03034405	circuitry
n04238763	slide rule, slipstick
n14974264	paper
n03226880	double door
n07802417	grain, food grain, cereal
n03384891	formalwear, eveningwear, evening dress, evening clothes
n03064935	cog, sprocket
n02098105	soft-coated wheaten terrier
n12753573	red maple, scarlet maple, swamp maple, Acer rubrum
n04389033	tank, army tank, armored combat vehicle, armoured combat vehicle
n02961544	car bomb
n07917392	sidecar
n07824191	lamb curry
n11812094	mullein pink, rose campion, gardener's delight, dusty miller, Lychnis coronaria
n03178674	derringer
n03855214	organza
n03041632	cleaver, meat cleaver, chopper
n03343354	fipple flute, fipple pipe, recorder, vertical flute
n02519686	channel catfish, channel cat, Ictalurus punctatus
n01449712	platy, Platypoecilus maculatus
n01663782	green turtle, Chelonia mydas
n03308614	eyecup, eyebath, eye cup
n03423719	gasket
n03612814	kettle, boiler
n12038585	peach bells, peach bell, willow bell, Campanula persicifolia
n02510455	giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca
n07831146	carbonara
n03272125	electric hammer
n01846331	duck
n12495146	locust tree, locust
n13099999	deciduous plant
n02128385	leopard, Panthera pardus
n02804515	bassinet
n03775847	mizzenmast, mizenmast, mizzen, mizen
n12580654	Japanese wistaria, Wisteria floribunda
n02576575	jack
n03725600	Mason jar
n12618727	eelgrass, grass wrack, sea wrack, Zostera marina
n08633683	waterfront
n02360282	chipmunk
n11703669	laurel
n04440963	tire chain, snow chain
n03484487	hand cream
n04529108	vernier scale, vernier
n02752496	athletic sock, sweat sock, varsity sock
n11807108	mouse-ear chickweed, mouse eared chickweed, mouse ear, clammy chickweed, chickweed
n03533014	hookah, narghile, nargileh, sheesha, shisha, chicha, calean, kalian, water pipe, hubble-bubble, hubbly-bubbly
n04607869	wristwatch, wrist watch
n11981192	strawflower
n04128710	sailcloth
n10034201	drinker, imbiber, toper, juicer
n03071021	cologne, cologne water, eau de cologne
n03174450	demijohn
n07857356	wasabi
n02917521	bullion
n03000684	chain saw, chainsaw
n01610552	harrier eagle, short-toed eagle
n03956157	planetarium
n12027222	salsify, oyster plant, vegetable oyster, Tragopogon porrifolius
n03620052	kitchen appliance
n04112579	rotunda
n11616486	red pine, Canadian red pine, Pinus resinosa
n04243941	slot machine, coin machine
n04194289	ship
n12053405	coral root
n04254680	soccer ball
n03762434	mihrab
n02276902	banded purple, white admiral, Limenitis arthemis
n01742821	rosy boa, Lichanura trivirgata
n04216634	sieve, screen
n07597145	confiture
n09251407	comet
n02992211	cello, violoncello
n10450161	political scientist
n02085374	toy dog, toy
n12817464	anchusa
n03188725	diaper
n04307986	steak knife
n03292603	epergne
n07867751	chocolate fondue
n11907689	matilija poppy, California tree poppy, Romneya coulteri
n03603594	junk
n04253057	snuffbox
n03726760	mast
n02175569	rose chafer, rose beetle, Cetonia aurata
n07707451	vegetable, veggie, veg
n07843464	souffle
n04192698	shield, buckler
n03013580	chemise, shimmy, shift, slip, teddy
n11614250	yellow pine
n15091473	vitamin B2, vitamin G, riboflavin, lactoflavin, ovoflavin, hepatoflavin
n03426134	gas tank, gasoline tank, petrol tank
n03980874	poncho
n03987990	positron emission tomography scanner, PET scanner
n01395254	ciliate, ciliated protozoan, ciliophoran
n02782093	balloon
n02275560	mourning cloak, mourning cloak butterfly, Camberwell beauty, Nymphalis antiopa
n03410740	gag, muzzle
n02831595	Bermuda shorts, Jamaica shorts
n12005656	fleabane, feabane mullet, Pulicaria dysenterica
n07898117	Saint Emilion
n02441942	weasel
n03548626	hull
n04609651	X-ray machine
n03937543	pill bottle
n07861557	coq au vin
n07769731	rambutan, rambotan
n12887293	balloon flower, scented penstemon, Penstemon palmeri
n12428076	Turk's-cap, martagon, Lilium martagon
n01524359	passerine, passeriform bird
n03883385	pannier
n09915651	chess master
n02749953	assembly
n01641739	green frog, spring frog, Rana clamitans
n01856553	greylag, graylag, greylag goose, graylag goose, Anser anser
n03020416	chip, poker chip
n01687978	agama
n02978205	casque
n02480153	great ape, pongid
n07681691	cinnamon bread
n09718217	Japanese, Nipponese
n03360622	flat bench
n07876651	Scotch egg
n12092417	scarlet pimpernel, red pimpernel, poor man's weatherglass, Anagallis arvensis
n04022332	pump
n04312432	steeple, spire
n04518343	vacuum gauge, vacuum gage
n02127381	Canada lynx, Lynx canadensis
n03474779	hacksaw, hack saw, metal saw
n03802007	musket
n03662887	life jacket, life vest, cork jacket
n11839568	four o'clock
n04397452	teacup
n02128925	jaguar, panther, Panthera onca, Felis onca
n09727826	Polynesian
n01539925	English sparrow, house sparrow, Passer domesticus
n02598878	white croaker, queenfish, Seriphus politus
n03180504	destroyer, guided missile destroyer
n03417345	garden
n04434207	tie rack
n02784124	banana boat
n07875267	rijsttaffel, rijstaffel, rijstafel
n02874537	bootlace
n01899894	encolure
n02472293	homo, man, human being, human
n02803934	bass fiddle, bass viol, bull fiddle, double bass, contrabass, string bass
n03578055	intercommunication system, intercom
n01386354	myrmecophile
n12548280	medic, medick, trefoil
n02106854	police dog
n01566207	tailorbird, Orthotomus sutorius
n02246011	homopterous insect, homopteran
n02569484	hind
n03691459	loudspeaker, speaker, speaker unit, loudspeaker system, speaker system
n02380583	mustang
n03865371	overnighter, overnight bag, overnight case
n02939866	caliper, calliper
n02164464	beetle
n03916720	peripheral, computer peripheral, peripheral device
n07577374	bite, collation, snack
n02509197	kinkajou, honey bear, potto, Potos flavus, Potos caudivolvulus
n10098862	folk dancer
n02096437	Dandie Dinmont, Dandie Dinmont terrier
n07724269	crisphead lettuce, iceberg lettuce, iceberg
n04449550	tollgate, tollbar
n03503997	headlight, headlamp
n02129165	lion, king of beasts, Panthera leo
n09756049	abettor, abetter
n02768114	backboard
n03289985	ensemble
n07732168	sweet corn, green corn
n07933274	tea
n01632777	axolotl, mud puppy, Ambystoma mexicanum
n03159640	dais, podium, pulpit, rostrum, ambo, stump, soapbox
n04087432	riband, ribband
n12643313	cherry plum, myrobalan, myrobalan plum, Prunus cerasifera
n01644373	tree frog, tree-frog
n07860331	grenadine
n00006484	cell
n07895237	Bordeaux, Bordeaux wine
n09933098	cobbler, shoemaker
n09230202	butte
n03683995	locket
n03199901	dinghy, dory, rowboat
n07725255	lentil
n04305323	stately home
n01959029	razor clam, jackknife clam, knife-handle
n03461288	grocery bag
n01603812	cedar waxwing, cedarbird, Bombycilla cedrorun
n12072722	masdevallia
n04230603	ski pole
n11752578	clover, trefoil
n04146050	school, schoolhouse
n12898774	bush violet, browallia
n03891538	parlor, parlour
n02058221	albatross, mollymawk
n10671613	successor, heir
n01592540	Carolina chickadee, Parus carolinensis
n03156279	cylinder
n02110958	pug, pug-dog
n04326547	stone wall
n02044778	skua, bonxie
n12560621	garden pea
n03950228	pitcher, ewer
n03169063	decoder
n02817799	beating-reed instrument, reed instrument, reed
n10151760	guitarist, guitar player
n03604311	jumbojet, jumbo jet
n04309833	steam iron
n12517445	butterfly pea, Clitoria mariana
n03761084	microwave, microwave oven
n12129738	reed canary grass, gardener's garters, lady's laces, ribbon grass, Phalaris arundinacea
n03416094	gantry, gauntry
n12819728	blueweed, blue devil, blue thistle, viper's bugloss, Echium vulgare
n10148035	groom, bridegroom
n12401684	fig, common fig, common fig tree, Ficus carica
n11537327	bryophyte, nonvascular plant
n04222307	single-breasted jacket
n07852229	Stilton
n12539306	wild pea
n10588074	sheep
n02782681	ballot box
n03509394	heat lamp, infrared lamp
n03423568	gas holder, gasometer
n12796022	bergenia
n02117900	spotted hyena, laughing hyena, Crocuta crocuta
n09842528	bass, basso
n03487444	hand lotion
n01945845	seasnail
n02715513	anteroom, antechamber, entrance hall, hall, foyer, lobby, vestibule
n03370387	fluorescent lamp
n12603449	pie plant, garden rhubarb, Rheum cultorum, Rheum rhabarbarum, Rheum rhaponticum
n03743016	megalith, megalithic structure
n03725717	masonry
n01493146	whitetip shark, reef whitetip shark, Triaenodon obseus
n04402580	telephone receiver, receiver
n11769176	impala lily, mock azalia, desert rose, kudu lily, Adenium obesum, Adenium multiflorum
n03382292	forecourt
n02883344	box
n02014237	crested cariama, seriema, Cariama cristata
n02961035	caravansary, caravanserai, khan, caravan inn
n01534433	junco, snowbird
n02660208	halibut, holibut
n11618861	larch, larch tree
n03699591	machete, matchet, panga
n03017168	chime, bell, gong
n02636854	mojarra
n10521662	reporter, newsman, newsperson
n09744161	Nebraskan, Cornhusker
n02533209	pilchard, sardine, Sardina pilchardus
n02095314	wire-haired fox terrier
n04552348	warplane, military plane
n03413684	gambrel, gambrel roof
n04127521	safety razor
n12713063	kumquat, cumquat, kumquat tree
n07575392	high tea
n04278353	spinet
n07878145	beef Stroganoff
n03804744	nail
n03939565	pilot engine
n10267865	little sister
n13052670	hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
n02119477	red fox, Vulpes fulva
n12649065	flowering cherry
n13029760	Aleuria aurantia, orange peel fungus
n11758122	lightwood, Acacia melanoxylon
n07839055	Nantua, shrimp sauce
n04227144	sketch, study
n03789946	motor
n03494537	harmonium, organ, reed organ
n01492357	smooth dogfish
n02090475	wolfhound
n03218198	dogsled, dog sled, dog sleigh
n04435180	tile
n03914438	pepper shaker, pepper box, pepper pot
n04419642	theremin
n02979290	cassette recorder
n07868200	French toast
n02777292	balance beam, beam
n02065407	lesser rorqual, piked whale, minke whale, Balaenoptera acutorostrata
n13199717	Christmas fern, canker brake, dagger fern, evergreen wood fern, Polystichum acrostichoides
n03410571	gaff topsail, fore-and-aft topsail
n03748162	mercantile establishment, retail store, sales outlet, outlet
n11879895	rapeseed
n12948495	cornelian cherry, Cornus mas
n07593199	smorgasbord
n03450516	gown, robe
n03253279	duckpin
n03875955	paintball gun
n04105068	roof
n12915568	black mangrove, Avicennia marina
n07618432	chocolate pudding
n04124370	saddle oxford, saddle shoe
n02211444	leaf-cutting bee, leaf-cutter, leaf-cutter bee
n02303284	cecropia, cecropia moth, Hyalophora cecropia
n02105641	Old English sheepdog, bobtail
n03013850	chenille
n07897975	sack
n13234678	swamp milkweed, Asclepias incarnata
n07767171	mulberry
n01491006	blue shark, great blue shark, Prionace glauca
n11859737	Virginia spring beauty, Claytonia virginica
n09873473	breadwinner
n04020912	Pullman, Pullman car
n03739518	medical building, health facility, healthcare facility
n07748912	sweet orange
n11905749	horn poppy, horned poppy, yellow horned poppy, sea poppy, Glaucium flavum
n03127925	crate
n04282494	splint
n03329302	Ferris wheel
n02050442	red-necked grebe, Podiceps grisegena
n02820556	Bedford cord
n03585073	iron
n02133704	Asiatic black bear, black bear, Ursus thibetanus, Selenarctos thibetanus
n03383099	foresail
n09946814	compere
n02123394	Persian cat
n01661091	reptile, reptilian
n04293119	squeezer
n13136316	bean
n11852028	nopal, Opuntia lindheimeri
n03223686	doorsill, doorstep, threshold
n03868242	oxcart
n11778257	large periwinkle, Vinca major
n03201776	dinner jacket, tux, tuxedo, black tie
n04102162	Rollerblade
n12389501	bird's-foot violet, pansy violet, Johnny-jump-up, wood violet, Viola pedata
n02978753	casserole
n03303217	exhaust fan
n02363005	beaver
n02279972	monarch, monarch butterfly, milkweed butterfly, Danaus plexippus
n07764630	tamarind, tamarindo
n04563413	waterwheel, water wheel
n02311060	larva
n03920288	Petri dish
n03431243	gear, gear mechanism
n12988158	lecanora
n04061969	recess, niche
n04595285	wire matrix printer, wire printer, stylus printer
n12124627	rye grass, ryegrass
n09308743	icecap, ice cap
n07860447	maple syrup
n02598573	white croaker, chenfish, kingfish, Genyonemus lineatus
n03996145	power saw, saw, sawing machine
n02601344	mullet, grey mullet, gray mullet
n03453443	grape arbor, grape arbour
n12640839	Japanese apricot, mei, Prunus mume
n07871720	Swedish meatball
n03364008	flip-flop, thong
n03231160	drafting instrument
n03963294	playback
n07576438	picnic
n04198453	shirttail
n11689483	oilseed, oil-rich seed
n02100735	English setter
n02723165	antiperspirant
n07755262	canistel, eggfruit
n02432704	black-tailed deer, blacktail deer, blacktail, Odocoileus hemionus columbianus
n02910145	bucket seat
n02107574	Greater Swiss Mountain dog
n04152593	screen, CRT screen
n02461830	pangolin, scaly anteater, anteater
n12399132	mulberry, mulberry tree
n01667114	mud turtle
n02192252	greenbottle, greenbottle fly
n02555863	perch
n03393761	freewheel
n13146583	Sauvignon grape
n01950731	sea slug, nudibranch
n03792782	mountain bike, all-terrain bike, off-roader
n04171208	semaphore
n09382099	oxbow
n13229543	mountain fern, Oreopteris limbosperma, Dryopteris oreopteris
n04048441	railroad tunnel
n03092656	console
n02843684	birdhouse
n07769886	pulasan, pulassan
n07714990	broccoli
n12509476	wild indigo, false indigo
n03309110	eyeliner
n04140631	sawhorse, horse, sawbuck, buck
n03836906	nylon
n07893642	champagne, bubbly
n07774596	macadamia nut
n03876231	paintbrush
n02596067	mulloway, jewfish, Sciaena antarctica
n03590588	jack-in-the-box
n03868406	oxford
n10508141	ratepayer
n01567678	parula warbler, northern parula, Parula americana
n04040247	radial, radial tire, radial-ply tire
n02268853	damselfly
n07875436	risotto, Italian rice
n04615226	zither, cither, zithern
n02807133	bathing cap, swimming cap
n04255899	sod house, soddy, adobe house
n03879456	pallet
n12916179	black mangrove, Aegiceras majus
n11870418	garlic mustard, hedge garlic, sauce-alone, jack-by-the-hedge, Alliaria officinalis
n03530642	honeycomb
n12223569	waratah, Telopea Oreades
n07894298	Medoc
n12529220	cork tree, Erythrina vespertilio
n03171228	defense system, defence system
n13028611	discomycete, cup fungus
n14696793	rock, stone
n04483307	trimaran
n03814639	neck brace
n02470899	anthropoid ape
n11622591	Alpine fir, subalpine fir, Abies lasiocarpa
n10524076	resident commissioner
n01970164	octopus, devilfish
n02054036	cormorant, Phalacrocorax carbo
n03698123	lunula
n01690149	blindworm, slowworm, Anguis fragilis
n04395875	tavern, tap house
n02611561	jawfish
n03787032	mortarboard
n03138344	crowbar, wrecking bar, pry, pry bar
n03777568	Model T
n12912670	salpiglossis
n07751451	plum
n03361550	flats
n04200000	shoe
n04209133	shower cap
n09811852	artilleryman, cannoneer, gunner, machine gunner
n11967744	woolly sunflower
n02076779	eared seal
n01599556	loggerhead shrike, Lanius lucovicianus
n03642444	lapel
n07866409	dolmas, stuffed grape leaves
n09855433	biographer
n12582846	feather palm
n03986355	portfolio
n03238586	dressing table, dresser, vanity, toilet table
n07585906	gumbo
n04585980	Winchester
n01959492	giant clam, Tridacna gigas
n12593994	date palm, Phoenix dactylifera
n03165466	day nursery, day care center
n03684823	locomotive, engine, locomotive engine, railway locomotive
n01632458	spotted salamander, Ambystoma maculatum
n03947798	pique
n01448291	swordtail, helleri, topminnow, Xyphophorus helleri
n04015908	protractor
n11815721	moss campion, Silene acaulis
n02861886	body
n02321170	feather star, comatulid
n12013511	white-topped aster
n02203152	midge
n10738111	unicyclist
n02755529	attack submarine
n02974697	case
n12311579	common lilac, Syringa vulgaris
n12074408	oncidium, dancing lady orchid, butterfly plant, butterfly orchid
n07930062	fruit punch
n02397529	peccary, musk hog
n04045255	radome, radar dome
n03521076	hinge, flexible joint
n02404573	Brahman, Brahma, Brahmin, Bos indicus
n04245508	small stores
n03460297	grindstone
n04034262	quilted bedspread
n10485883	protectionist
n04450243	tomograph
n04036303	QWERTY keyboard
n02637977	whiting
n02380464	polo pony
n02406647	Charolais
n12062781	stream orchid, chatterbox, giant helleborine, Epipactis gigantea
n04441790	titrator
n01646388	agua, agua toad, Bufo marinus
n03150511	curling iron
n01558461	redwing, Turdus iliacus
n03126707	crane
n10321340	minor leaguer, bush leaguer
n07898443	Sauterne, Sauternes
n04056413	rattrap
n03121897	coverall
n04347754	submarine, pigboat, sub, U-boat
n03676483	lipstick, lip rouge
n07713267	pieplant, rhubarb
n12070381	liparis
n10763620	waitress
n11839823	common four-o'clock, marvel-of-Peru, Mirabilis jalapa, Mirabilis uniflora
n03180384	dessert spoon
n04052658	ranch house
n10415037	percussionist
n03502331	head covering, veil
n07597365	candy, confect
n11992479	Texas star, Lindheimera texana
n02163297	collembolan, springtail
n10421470	pharmacist, druggist, chemist, apothecary, pill pusher, pill roller
n13190747	soft tree fern, Dicksonia antarctica
n03623338	knee piece
n04212282	shuttlecock, bird, birdie, shuttle
n04361260	supporting tower
n02016358	gallinule, marsh hen, water hen, swamphen
n11892817	brompton stock, Matthiola incana
n04116098	rubber band, elastic band, elastic
n03321563	fanny pack, butt pack
n01849676	shelduck
n03589513	jack
n10768903	washer
n03996416	power shovel, excavator, digger, shovel
n02715229	antenna, aerial, transmitting aerial
n02738535	armchair
n11874081	yellow rocket, rockcress, rocket cress, Barbarea vulgaris, Sisymbrium barbarea
n01595974	house martin, Delichon urbica
n03957315	planter
n04072551	rein
n02410702	American bison, American buffalo, buffalo, Bison bison
n03135532	cross
n02078738	Australian sea lion, Zalophus lobatus
n03537412	horn button
n02878425	boucle
n12759273	cashew, cashew tree, Anacardium occidentale
n04535524	villa
n02298541	hawkmoth, hawk moth, sphingid, sphinx moth, hummingbird moth
n02973017	cartridge holder, cartridge clip, clip, magazine
n12164656	cantaloupe, cantaloup, cantaloupe vine, cantaloup vine, Cucumis melo cantalupensis
n11809094	maiden pink, Dianthus deltoides
n02590702	sea bream, bream
n12409470	European hackberry, Mediterranean hackberry, Celtis australis
n12083591	ladies' tresses, lady's tresses
n12015959	goldenrod
n04477548	treasure chest
n02487347	macaque
n04389521	tank car, tank
n02823428	beer bottle
n10019406	diver, plunger
n01801876	brush turkey, Alectura lathami
n12256112	wintergreen, pyrola
n10542761	runner
n10386984	outfielder
n03427202	gat, rod
n12953206	flowering fern, osmund
n12494794	royal poinciana, flamboyant, flame tree, peacock flower, Delonix regia, Poinciana regia
n01943899	conch
n07611991	mousse
n12337617	blue gum, fever tree, Eucalyptus globulus
n02432291	Virginia deer, white tail, whitetail, white-tailed deer, whitetail deer, Odocoileus Virginianus
n02776825	balaclava, balaclava helmet
n03442597	gnomon
n03692379	loungewear
n12484784	water shamrock, buckbean, bogbean, bog myrtle, marsh trefoil, Menyanthes trifoliata
n04355933	sunglass
n12352844	Japanese banana, Musa basjoo
n03825080	nightwear, sleepwear, nightclothes
n02276355	red admiral, Vanessa atalanta
n01812662	rock dove, rock pigeon, Columba livia
n03404251	fur coat
n03543735	hot-water bottle, hot-water bag
n07775050	pistachio, pistachio nut
n02809105	batik
n04039742	racquetball
n12687462	rose geranium, sweet-scented geranium, Pelargonium graveolens
n07914995	gimlet
n03605598	jump suit, jumpsuit
n10548537	salesman
n03003091	chalk
n07765073	date
n03100490	conveyance, transport
n07748753	bitter orange, Seville orange, sour orange
n03819448	nest egg
n03258330	dustcloth, dustrag, duster
n07822323	cardamom, cardamon, cardamum
n06272612	voice mail, voicemail
n01504344	nestling, baby bird
n07896165	Cotes de Provence
n04113194	roulette, toothed wheel
n11902200	corn poppy, field poppy, Flanders poppy, Papaver rhoeas
n03744840	memory device, storage device
n04141327	scabbard
n07835457	hollandaise
n01825278	touraco, turaco, turacou, turakoo
n02905152	broken arch
n10369317	oboist
n01982650	lobster
n01599159	European shrike, Lanius excubitor
n02399000	ruminant
n02122878	tabby, queen
n03131669	crib
n04142731	scanner, electronic scanner
n01662784	turtle
n04488857	trouser press, pants presser
n03956922	plant, works, industrial plant
n03557692	ice maker
n03937931	pillion
n04331639	straightener
n04612373	yawl, dandy
n02760099	automat
n03393017	free house
n02156871	quadruped
n04489695	trousseau
n04191595	shelter
n04587327	windjammer
n01447331	striped killifish, mayfish, may fish, Fundulus majalis
n04285008	sports car, sport car
n12850906	dagga, Cape dagga, red dagga, wilde dagga, Leonotis leonurus
n02236896	hemipterous insect, bug, hemipteran, hemipteron
n02903204	broadcaster, spreader
n12075299	early spider orchid, Ophrys sphegodes
n07887967	light beer
n09750770	Yemeni
n04176068	serving cart
n12093600	sowbread, Cyclamen hederifolium, Cyclamen neopolitanum
n02984203	cathedral, duomo
n04474187	transport ship
n04345028	study
n04041243	radiator cap
n03244919	driving wheel
n13131028	umbel
n02006656	spoonbill
n03609397	kazoo
n07717556	butternut squash
n07734879	stuffed mushroom
n03605915	junction, conjunction
n03394916	French horn, horn
n02604954	spadefish, angelfish, Chaetodipterus faber
n03196598	digital display, alphanumeric display
n03541091	hospital room
n02106030	collie
n11918286	ageratum
n04281260	spittoon, cuspidor
n07835547	bearnaise
n01773157	black and gold garden spider, Argiope aurantia
n10092978	first lieutenant, 1st lieutenant
n04350769	sugar spoon, sugar shell
n03359285	flashlight battery
n02910864	buckskins
n03231368	drafting table, drawing table
n13144084	hazel, hazel tree, Pomaderris apetala
n01742172	boa constrictor, Constrictor constrictor
n07771731	brazil nut, brazil
n03049924	cloth cap, flat cap
n04592741	wing
n04589890	window screen
n02574271	cobia, Rachycentron canadum, sergeant fish
n11611356	pitch pine, northern pitch pine, Pinus rigida
n13237188	wax plant, Hoya carnosa
n10472129	primigravida, gravida I
n02901377	brig
n03394649	French door
n07863802	cheese souffle
n12159055	summer squash, summer squash vine, Cucurbita pepo melopepo
n02757810	audiotape
n11992806	African daisy, yellow ageratum, Lonas inodora, Lonas annua
n03356982	flannel
n03874599	padlock
n01484850	great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias
n04004990	printer cable
n01530575	brambling, Fringilla montifringilla
n03285578	encaustic
n03121298	courthouse
n03709363	magnum
n03995856	power mower, motor mower
n01946630	nerita
n02112018	Pomeranian
n12638753	Allegheny plum, Alleghany plum, sloe, Prunus alleghaniensis
n07896287	dessert wine
n03261603	earmuff
n01990800	isopod
n10502329	rabbi
n09927451	clergyman, reverend, man of the cloth
n03549732	hurricane deck, hurricane roof, promenade deck, awning deck
n02777100	balance
n03445617	golf bag
n03909406	pendulum clock
n03102654	cooler, ice chest
n01737875	grass snake, ring snake, ringed snake, Natrix natrix
n12932966	cow parsley, wild chervil, Anthriscus sylvestris
n03680512	loaner
n02292692	carpet moth, tapestry moth, Trichophaga tapetzella
n03764995	milking machine
n03842986	ohmmeter
n12110778	brome, bromegrass
n12310349	lilac
n02475669	Homo sapiens sapiens, modern man
n03275681	electrolytic, electrolytic capacitor, electrolytic condenser
n03407865	fusee drive, fusee
n04207151	shoulder
n07684164	matzo, matzoh, matzah, unleavened bread
n03222176	door
n02624167	mackerel
n02605703	chaetodon
n10560637	scientist
n02927887	butterfly valve
n04337287	stretch pants
n11697560	barberry
n13029326	Sarcoscypha coccinea, scarlet cup
n03468821	gun case
n09752519	Gemini, Twin
n02890662	brake pad
n07696403	sandwich plate
n02584449	piranha, pirana, caribe
n04442312	toaster
n03374372	fly rod
n04505470	typewriter keyboard
n12946849	dogwood, dogwood tree, cornel
n11726707	rue anemone, Anemonella thalictroides
n01392380	ameba, amoeba
n03841290	oeil de boeuf
n03505383	headsail
n03416640	garage, service department
n03296081	escapement
n04119751	rundle, spoke, rung
n11875938	head cabbage, head cabbage plant, Brassica oleracea capitata
n04215402	sidewalk, pavement
n03112719	corselet, corslet
n07866723	egg roll, spring roll
n03701391	machine gun
n04449966	tomahawk, hatchet
n02570164	jewfish, Mycteroperca bonaci
n07854184	mozzarella
n02962843	cardcase
n03724066	mascara
n10630188	speaker, talker, utterer, verbalizer, verbaliser
n01896844	eiderdown
n10730728	trooper, state trooper
n10308732	mender, repairer, fixer
n04439585	tine
n03010795	chasuble
n07906718	bourbon
n07834774	aioli, aioli sauce, garlic sauce
n01854838	American merganser, Mergus merganser americanus
n08560295	dude ranch
n03207305	dish, dish aerial, dish antenna, saucer
n03904433	pedicab, cycle rickshaw
n03457008	great hall
n12301445	olive
n02431122	red deer, elk, American elk, wapiti, Cervus elaphus
n03942813	ping-pong ball
n03843555	oil filter
n04086273	revolver, six-gun, six-shooter
n02443346	ferret
n04595028	wireless local area network, WLAN, wireless fidelity, WiFi
n03992509	potter's wheel
n04397645	tea gown
n03043693	clinker, clinker brick
n10761190	voyager
n02319095	sea urchin
n02089555	foxhound
n01321770	orphan
n07714571	head cabbage
n03661043	library
n03250089	drum brake
n12327022	water milfoil
n03954731	plane, carpenter's plane, woodworking plane
n11861641	toad lily, Montia chamissoi
n02940385	call center, call centre
n03488438	handset, French telephone
