n04403638	望遠鏡
n03760671	顕微鏡
n02076196	シール
n12480456	チューベローズ
n11870747	アリッサム
n03075370	組み合わせ錠
n10563403	スクランブラ
n07749192	ネーブルオレンジ
n03337140	綴じ込み
n02954163	キャンバス地テント
n07694839	堅パン
n09846755	養蜂家
n10137825	棹子
n03457686	八百屋
n03041810	クリアストーリー
n03257586	謄写器
n04516116	甕
n02047260	ウミガラス
n03935335	貯金
n04091693	索具
n04569822	ウェッジ
n03438071	ベルト
n11620673	樅
n03738472	機関
n03552749	水中翼船
n04411264	穹廬
n01820052	牡丹鸚哥
n04332243	瀘過器
n03819595	網
n15102894	節穴
n12641413	櫻
n02060411	ミズナギドリ
n02979399	カセットテープ
n12566331	紫檀
n04294879	馬屋
n03719343	マントルピース
n02005399	ハシビロコウ
n08573842	ゴミの山
n03965456	モール
n04051825	防壁
n02068974	海豚
n04179913	ミシン
n12651229	ピラカンサ
n12483427	イトラン
n10112129	釈家
n03080497	羅針盤
n07723177	シャロット
n07905038	ラム酒
n03388183	万年筆
n09805324	弓道家
n03801353	オルゴール
n02153109	大物
n01582398	鵲
n07725531	グリーンピース
n09705124	エティオピア人
n07823460	サルサ
n04592005	酒樽
n02804123	エレベ
n02376791	雄の子馬
n02927161	肉屋
n02005790	トキ亜科
n02139671	オオコウモリ亜目
n10157128	中衛
n04038440	スタンド
n04551055	蔵
n03546340	住居施設
n01872772	ハリモグラ
n07841495	半熟卵
n09988063	父っつぁん
n04187547	納屋
n09890749	候補者
n12860365	バジル
n03241335	飲用噴水
n02085936	マルチーズ
n04487394	トロンボーン
n01586374	サボテンミソサザイ
n01596273	ショウドウツバメ
n02346627	針鼠
n11928352	クラムヨモギ
n04467307	トレーラー
n03709823	郵袋
n03782006	モニター
n12373100	パパイヤ
n10345015	おばあちゃん
n07590502	ごった煮
n13108481	若木
n09815790	輔佐人
n03359566	瓶
n02871963	ブーメラン
n04335693	街着
n09712696	マレイ
n10087434	航空兵
n04196502	商船
n01797601	キジオライチョウ
n09361517	山腹
n07743902	クランベリー
n03296328	断層崖
n04530283	垂直尾翼
n03914106	ペプラム
n01953762	星宝貝
n04447028	便器
n07921455	果実酒
n09432283	殻
n02687172	航空母艦
n04105893	間
n04452757	木屋
n03482405	籠
n04209239	シャワーカーテン
n07585208	汁
n11971927	ガーベラ
n03423306	ガス銃
n03743279	メガホン
n02512938	魚
n07572353	食糧
n01322343	ウェルプ
n07880213	テリーヌ
n04179824	ソーイングセット
n03694639	ＬＰ
n02678897	アダプター
n07690739	ポップオーバー
n07614825	チョコレートアイスクリーム
n01883070	ウォンバット
n09964202	副操縦士
n02120079	ホッキョクギツネ
n03014705	櫃
n02955065	鞘
n03065424	捲線
n07718747	アーティチョーク
n04128837	帆船
n02433546	ノロジカ
n02993368	香炉
n01519563	ヒクイドリ
n02897820	磚
n01922303	蠕虫
n02687821	格納庫
n03662601	救命ボート
n02902079	鐔
n03201638	ディナードレス
n03580518	内蔵ドライブ
n01843383	オオハシ
n02812201	軍艦
n02517442	ナマズ
n03665366	照明
n12708293	オレンジ
n02012849	ツル
n03745146	動物園
n07765999	棗
n03896233	旅客列車
n10192839	塊
n04435653	瓦屋根
n11853356	蝦蛄葉サボテン
n12384839	クロタネソウ
n01497118	ノコギリエイ
n12479537	ドラセナ
n01608432	トビ
n02114712	赤狼
n07904934	ウーゾ
n02387722	駅馬
n04598582	木管楽器
n02894605	防潮堤
n01585121	ハシナガヌマミソサザイ
n01821203	鸚哥
n02100877	アイリッシュ・セッター
n02793089	バリトン
n09242389	谿間
n10470779	神父
n04358874	上部構造
n09428628	海岸
n04154152	スクリュープロペラ
n02977058	現金自動支払機
n02698634	アルペンストック
n02815950	梁
n07696977	オープンサンドイッチ
n04030518	中庭
n07866277	リッソール
n11950345	キク
n02099712	ラブラドール・レトリバー
n02727016	開口部
n10282482	少女
n02073831	マナティー
n02988679	CDロム
n10467179	大統領
n02268443	蜻蛉
n12768682	トチノキ
n03424630	ガソリンエンジン
n03037709	クラリネット
n04596852	婦人服
n09624168	男性
n02393580	バク
n02251775	アリマキ
n03556992	砕氷船
n03974070	ホッピング
n01570839	カオグロアメリカムシクイ
n04606574	鍵
n03409297	ギャバジン
n07576182	ブフェ
n02024763	タゲリ
n04089836	馬鞭
n03038870	クラヴィコード
n07823105	チャツネ
n04589190	ブラインド
n11784497	テンナンショウ
n10117851	ギャル
n03653583	経机
n03679712	茶の間
n03028596	教会の鐘
n12501202	タマリンド
n04235860	寝袋
n04249415	スネアドラム
n04201733	ステーションワゴン
n01519873	エミュー
n02840619	表紙
n07722217	球茎
n13133932	肉穂花序
n01981276	兜蟹
n09393605	広野
n02097130	ジャイアント・シュナウザー
n02879309	ブティック
n03010473	シャーシ
n02029378	ミユビシギ
n04561422	水車小屋
n12465557	ユッカ
n03241093	油田掘削施設
n07615774	アイスキャンデー
n03138669	王冠
n04018399	飲屋
n03911658	小刀
n09398677	絶崖
n02173373	豆黄金
n09774783	擁護者
n03487090	ハンドル
n02069412	マイルカ
n07715103	カリフラワー
n11857875	マツバボタン
n03303831	展示場
n03667829	光学顕微鏡
n02168699	髪切
n03026506	クリスマスストッキング
n03824381	ナイトドレス
n01549641	ニシモリタイランチョウ
n13102775	巻鬚
n11901294	アイスランドポピー
n14844693	間土
n03505133	ヘッドレスト
n02880189	蝶結び
n02374451	馬匹
n09629752	過客
n02089232	ダックスフント
n02900160	馬勒
n10513823	赤頭
n12249542	コケモモ
n03955296	平削り盤
n09734450	チベット語
n03612965	鼓索
n02761392	自動人形
n04365328	サーベイランスシステム
n07928696	コーク
n01494475	撞木鮫
n04450133	トミーガン
n03367059	フロアスタンド
n06874185	信号
n07919441	アイリッシュコーヒー
n07822845	チリソース
n04556948	監視塔
n07733567	球茎甘藍
n07849733	乳清
n04314914	踏段
n02860415	木管
n02032222	タシギ
n03273061	電動機
n07566340	食物
n02919414	風呂敷包み
n03376595	畳椅子
n11924849	ゴボウ
n11772408	日々草
n07614198	氷
n01514752	闘鶏
n03859958	装い
n04605321	毛糸
n02777927	縁側
n12828791	朝顔
n02428349	オリックス
n02103406	ワーキングドッグ
n04275175	香味料入れ
n07561590	食事性
n10655594	フライト・アテンダント
n01560105	ナイチンゲール
n03456665	角袖
n02849885	溶鉱炉
n07690585	ヨークシャー・プディング
n03371875	洗面所
n02729965	発明
n02791124	理髪店のいす
n13002750	セイヨウタマゴタケ
n04238128	滑台
n03372029	フルート
n07804657	精白米
n02828884	長椅子
n03213826	ポイント
n01601694	カワガラス
n03743902	記念建造物
n04317833	スティック
n12719684	金蓮花
n10263411	ラインマン
n02758863	アウトバーン
n09376526	海洋底
n03011741	チェック・アウト
n02792552	高瀬舟
n02062744	鯨
n10185793	騎手
n03703730	マクラメ
n04596742	中華鍋
n03334912	余計者
n07838073	垂れ
n13131618	葉柄
n04259630	ソンブレロ
n02047975	西角目鳥
n04335886	街燈
n04566756	風見鶏
n02048115	角目鳥
n03179910	卓上電話
n04328186	秒時計
n02137549	マングース
n02433925	馴鹿
n04466871	トレールバイク
n09283405	端山
n11785668	カラジューム属
n13163991	枝
n02887970	腕輪
n01515303	渡り鳥
n02209354	クマバチ
n11924445	牛蒡
n01562265	駒鳥
n04517823	電気掃除機
n12483625	ユッカ
n03055418	クラッチバッグ
n07919572	カフェオレ
n11754893	ネムリグサ
n01529672	フィンチ
n10387196	右翼手
n02470325	猿
n07766173	レイシ
n01664674	ヒメウミガメ
n03320519	仮装
n04146614	スクールバス
n12655869	キイチゴ
n07611267	フラン
n07841639	固茹で卵
n04474035	車載専用車
n03516844	ウェリントン
n01806847	カンムリウズラ
n09896685	飛騨工
n02496913	狐猿
n07611358	冷菓
n03196062	デジタルカメラ
n02080146	タテゴトアザラシ
n04392526	テープデッキ
n07924834	オレンジジュース
n10145590	曾祖母
n10098710	敵
n01521756	レア
n03221720	開戸
n11680596	花粉管
n07889274	モルト
n07816052	サッサフラス
n02524202	介党鱈
n07682808	ガーリックブレッド
n12939282	茴香
n07746186	柿
n01541102	ギンザンマシコ
n07936745	ミネラルウオーター
n02068541	トックリクジラ属
n01957335	オオノガイ
n04136510	窓枠
n04484432	三極管
n09457979	タイダルベイスン
n02532602	イワシ
n09475925	水辺
n07842433	スタッフドエッグ
n03549589	ハードル
n07881800	飲物
n07863374	パスタ
n03742019	メディシンボール
n02096177	ケアーン・テリア
n02565573	バス
n09230041	巣穴
n02105855	シェットランド・シープドッグ
n07818995	マージョラム
n07801508	油かす
n04096848	防柵
n10787470	髪長
n12338796	七竈
n11883328	ニオイアラセイトウ
n02043063	アジサシ
n01592257	アメリカ小雀
n03497352	掛けがね
n04244379	放水路
n02377181	種馬
n07587700	クラムチャウダー
n02422106	ハーテビースト
n15089258	ヴィタミン
n10652605	州財務官
n07903208	ブランデー
n13125117	根っ子
n07860805	バッター液
n09294877	窟
n02570838	ウミタナゴ
n02007558	フラミンゴ
n02027897	アオアシシギ
n11727358	会堂
n07721018	ピーマン
n11892029	ストック
n09415584	河畔
n03502509	被り物
n04060647	受信装置
n10077593	気違い
n03525074	エレベーター
n07867324	フィッシュ・アンド・チップス
n02011805	アメリカサンカノゴイ
n03409393	破風
n07933154	ティーバッグ
n09415671	河床
n04160586	水上機
n12450344	片栗
n01609956	ヨーロッパチュウヒ
n12596709	大王椰子
n02407959	野牛
n09472597	火山
n09331251	湖岸
n03343853	短銃
n03973945	ポッド
n07907943	リキュール
n03461385	食料雑貨店
n09610405	素町人
n01339336	帯状疱疹ウイルス
n03644378	投げ縄
n07746334	アセロラ
n02226970	蝗
n12173664	葵
n09916348	最高執行責任者
n10529231	長者
n01663401	ウミガメ科
n12560282	豌豆豆
n12924623	ヒマ
n09835506	野球選手
n02880393	弓矢
n07605380	フォンダン
n01537895	ズアオホオジロ
n03863108	上っ張り
n02736798	アーガイルソックス
n02127292	オオヤマネコ
n07841345	黄身
n02847631	ブラックタイ
n03314780	香粉
n04613696	ユルト
n03817191	ネガ
n10568358	従姉妹違い
n02402010	ウシ
n04386792	滑石
n03713436	マジリカ
n02127678	カラカル
n00007846	個人
n03928116	洋琴
n01936391	多毛類
n04453390	楊枝
n03469493	引き金
n04102618	ローラースケート
n03594734	デニム
n04220250	サイロ
n04309348	蒸汽船
n02266050	蛇蜻蛉
n07764847	アヴォカード
n07765208	ニワトコ
n10036929	鼓手
n03555426	ハイパーマーケット
n07732636	ポップコーン
n07248320	表紙カバー
n03607659	カラシュニコフ
n12939874	ハナウド
n12849416	仏の座
n10450303	政治的指導者
n02381261	月毛の馬
n04574999	銀輪
n04247630	滑面
n12259316	シャクジョウソウ
n04357121	サンルーフ
n03417042	集塵車
n04486054	凱旋門
n09929298	クライマー
n02129463	雌
n07809096	材料
n02281787	シジミチョウ
n03660124	リーヴァイズジーンズ
n02978055	小箱
n07869391	ハッシュ
n03896103	客船
n02757462	音韻組織
n07722485	葱
n02708711	分析計
n10078806	農父
n12201580	カカオ
n02256656	蝉
n10624074	童男
n03884397	鳴管
n01852671	バリケン
n07579688	メインディッシュ
n04166281	セダン
n03636649	電燈
n03847823	青空市場
n13130726	花茎
n04111668	ローター
n11711537	シデコブシ
n04199027	靴
n03325584	ボア
n02934168	電纜
n03187037	ダイヤル
n07936548	炭酸水
n04517408	別荘
n02035210	セイタカシギ
n04508949	襯衣
n04350905	背広
n02500267	インドリ
n09259219	火口
n01558765	クビワツグミ
n07802026	馬草
n03490884	ハンガー
n03016868	シフォン
n10053808	雇用者
n04303497	ホッチキス
n10015485	重役
n15092227	コレカルシフェロール
n09443281	跡
n07844867	豆乳
n03877845	館
n02854926	ブラウス
n03676759	液晶ディスプレイ
n02062430	クジラ目
n01796729	バン
n04279462	糸車
n03459775	格子
n02631475	クロカワ
n02949542	缶
n04020298	滑車
n02226183	直翅類
n04190052	棚
n02997391	陶器
n03431745	トレーン
n07829412	掛け汁
n02629230	カツオ
n03779128	モヘヤ
n12530818	玄武岩
n07731952	豆
n12849279	オドリコソウ
n03411079	ゲートル
n02083672	雌犬
n12166128	ユウガオ
n13220122	トクサ
n12953484	薇
n03902482	桃園
n02411999	雌羊
n07743224	ビルベリー
n03428090	ゲートハウス
n01852400	オシドリ
n02769290	バックホー
n04476259	盆
n02954938	蓋
n03207835	布巾
n02811468	闘斧
n07581775	カクテル
n07875152	ポットパイ
n01569423	キヅタアメリカムシクイ
n01860187	黒鳥
n02086079	ペキニーズ
n03721047	マーブル
n07930433	ピニャ・コラーダ
n03393912	貨車
n02618827	ネズッポ
n07890068	ペイルエル
n10300154	輩
n12568186	ハリエンジュ
n07557434	皿に盛った料理
n02109961	エスキモー犬
n03643149	喉頭鏡
n04285146	遊び道具
n07608098	マシュマロ
n02930766	辻自動車
n03344642	耐火煉瓦
n02043333	アジサシ
n03039827	クリーニング屋
n04533700	ビデオカセット
n03358172	閃光電球
n03644858	掛け金
n02761206	自動化
n03387653	ファウンダリー
n07273802	ケルン
n03085219	コンピューターモニタ
n02860847	ボブスレー
n02988304	ＣＤプレーヤー
n01620414	ハシボソガラス
n02826886	鐘楼
n12062468	キンラン
n06267991	イエロージャーナリズム
n03856012	育児院
n02133161	アメリカ熊
n10207169	姻戚
n03838899	オーボー
n07720875	ピーマン
n03028079	聖堂
n03309465	接眼レンズ
n02422699	インパラ
n02117135	ハイエナ
n04234887	スレート葺
n02786837	帯鋸
n13084184	多肉
n07569644	グラハム粉
n03624134	短剣
n04340521	ストローブ
n04608329	書き物机
n03470629	銃の引き金
n02873839	ボックス
n11959632	チョウセンアザミ
n02913152	普請
n01603953	キレンジャク
n04531098	物入れ
n02754103	噴霧器
n07886849	麦酒
n09632518	就業者
n04258138	太陽炉
n07723039	西洋葱
n12059314	デンドロビウム
n09445289	草原
n03400231	フライパン
n04576211	車
n12629666	枇杷
n03934656	ピエタ
n02381460	悪馬
n03327234	駒寄せ
n03864692	オーバーヘッドプロジェクター
n04074185	舎利塔
n02123045	虎猫
n04425804	三塁ベース
n03793489	マウス
n02212062	雀蜂
n07812184	香辛料
n02871314	移動図書館
n01458842	胚子
n03805725	ネールエナメル
n03415486	渡り板
n02312640	蛹虫
n01732614	コーンスネーク
n10477713	看護学生
n02912557	バギー
n07815424	ニクズク
n02657694	鰈
n09792969	アンカーマン
n02537525	虹鱒
n07774719	ペカン
n04153751	螺旋釘
n02831724	寝台
n03145147	カッコウ時計
n03273551	電気オルガン
n03346455	煖炉
n09208496	辰宿
n07693048	シナモンバン
n03976467	ポラロイドカメラ
n03712337	メーン
n09871229	少年
n02207805	働蜂
n02980036	海狸
n07576781	バーベキュー
n10146416	グリーンベレー
n04150980	スクレーパー
n03410938	ゲートル
n13194572	ニシキシダ
n07907161	アイリッシュ・ウイスキー
n02300797	蚕児
n11815491	ハエジゴク
n10282672	端女
n04273569	レース艇
n07886463	アペリティフ
n03078995	パウダーコンパクト
n03158885	短剣
n02813544	デパート
n02429456	プロングホーン
n04602762	仕事部屋
n02002724	ナベコウ
n01616318	禿鷹
n12997919	茸
n03715669	槌
n07842753	卵焼き
n04479046	トレンチコート
n02733524	アーチ
n01917289	脳珊瑚
n02534734	鮭
n07772935	ココナツ
n02760658	自動拳銃
n04041544	無電
n03592245	鉄窓
n04051549	ランプウエー
n09269472	下り坂
n09259025	磐
n03033362	電路
n06267145	新聞紙
n11623967	ヒマラヤスギ
n02481823	黒猩猩
n03445326	金メッキ
n03996849	パワーステアリング
n11542137	水苔
n02489166	テングザル
n03489162	手工具
n03683079	水門
n03528100	養護ホーム
n03109881	隈
n04414199	テラリウム
n12281241	樺
n04406239	テレビ室
n03473227	ジャイロスコープ
n07755929	マスクメロン
n04037443	レーシングカー
n10633450	観覧者
n04125021	金庫
n01555004	ヤイロチョウ
n03037404	カチンコ
n03378765	フートボール
n12717224	神樹
n01584853	イエミソサザイ
n03786715	迫撃砲
n04538552	万力
n07827410	胡麻
n03300443	イーサネットケーブル
n03061211	春駒
n03253886	ダッフルバッグ
n07908647	アニゼット
n12806732	スズカケノキ
n11895092	ダイコン
n03443149	ゴールポスト
n03054901	クラッチ
n02583890	テトラ
n03045337	マント
n04186455	ショール
n04224842	シタール
n02101108	スパニエル
n07750146	ザボン
n03604156	ジュークボックス
n12814643	梓
n02704949	円形劇場
n03864356	突き出し
n03384352	フォークリフト
n02755823	物置
n09626238	同輩
n12931906	アンゼリカ
n09903153	有名人
n12086539	バニラ
n02813752	バズーカ砲
n09928136	聖職者
n03436417	ギフトショップ
n09893191	大尉
n02421449	ヌー
n04128499	帆船
n02109047	グレートデン
n02132580	灰色熊
n03758089	中二階
n12879527	キンチャクソウ
n03704549	マガジンラック
n03430551	歯車
n04382880	回転速度計
n11853813	月下美人
n03977966	護送車
n02764044	斧鉞
n03929660	爪
n09930257	仕上げ工
n01623615	アメリカ大木葉木菟
n04038727	ラック
n01533339	カナリア
n04506506	超遠心機
n02093647	ベドリントン・テリア
n03777754	モデム
n03978966	ポロシャツ
n02963302	図書目録
n04208210	スコップ
n03394480	貨物列車
n12582665	サゴヤシ
n03351434	釣り道具
n12611640	ウォーターニンフ
n02114100	狼
n12049562	ホテイラン
n13133613	頭状花序
n04138261	繻子
n07857170	香
n03550153	仮兵舎
n01792955	巣鶏
n03927299	写真版
n02933340	キャビネット
n03079741	区画
n07807922	フルーツサラダ
n01606809	クーパー鷂
n09676884	スラブ
n03594945	ジープ
n01677747	ウミトカゲ
n10229883	キーボーディスト
n07839312	タバスコ
n04587559	風車小屋
n02752615	サポーター
n02946270	キャンプチェア
n02821202	便器
n01530439	ズアオアトリ
n01498041	アカエイ
n12785889	弁慶草
n04587648	風窓
n07725789	絹莢
n03640988	提燈
n04096066	道途
n01613294	鷲
n03424489	ガスメーター
n07865484	焼きそば
n02948557	燭台
n07930864	カップ
n02106166	ボーダー・コリー
n07643981	ゼリー
n02808304	湯上タオル
n02317335	ヒトデ
n03894379	障屏
n01785667	ゲジ
n09359803	牟礼
n12546183	上り藤
n03850245	手術室
n02960903	デカンター
n03859170	船外
n03495039	ハーネス
n01627424	両生類
n03606251	立場
n04540053	バレーボール
n02391049	縞馬
n12198286	梧桐
n04520382	ヴァン
n03177165	脱毛剤
n03043958	ゼムクリップ
n03015254	鏡台
n07935379	烏龍茶
n04461437	役場
n12662772	コーヒーノキ
n01667778	スッポン
n10486166	妹分
n03098959	航空管制塔
n10249459	法執行者
n11709205	トウシキミ
n02313008	女王
n02699629	聖卓
n02493509	ティティ
n04232800	明採り
n03277771	電子装置
n07936263	飲用水
n12805146	スグリ
n03904909	皮むき
n07816164	バジル
n02919648	餡詰
n12862512	延命草
n03438257	盃
n02526121	鰻
n03719053	邸宅
n09858165	黒帯
n03566193	焼却炉
n03610682	ケピ帽
n02776205	餌
n03467984	鉄砲
n07929351	コーヒー豆
n03948459	短銃
n11674332	花序
n01322221	赤ん坊
n02699494	聖餐台
n04214282	サイドカー
n10076604	鷹匠
n02013177	アメリカシロヅル
n02413593	ハンプシャー
n04571292	フリーウェイト
n01664065	赤海亀
n03404149	毛皮
n03946162	マフ
n02416880	警棒
n01821869	バッジー
n04131690	塩入れ
n13232779	ナラタケ
n10155849	理髪師
n02887489	ズボン吊り
n03446070	ゴルフクラブ
n07907548	モルトウイスキー
n11989393	エーデルワイス
n04524313	車駕
n07642933	ジャム
n03205574	デアンドル
n03343560	焔
n07687211	食パン
n03909160	振子
n03045228	クリッパー
n03835197	裸婦画
n02355227	栗鼠
n03267696	エラスティック
n09620078	居住者
n01581984	灰色星烏
n03581125	道辻
n01533000	ムラサキマシコ
n01839086	ヨーロッパアオゲラ
n12449296	カマシア
n02432983	ヘラジカ
n12902662	ヤコウボク
n12116429	鴨茅
n00005787	底生動物
n04250850	シュノーケル
n04124202	鞍敷
n02424305	弘道
n02977936	カジノ
n04018667	共同便所
n03770679	ワンボックスカー
n09246464	崖
n07760859	ポポー
n04264628	スペースバー
n03094159	コンタクトレンズ
n03206282	ディスコテーク
n03068998	首輪
n07615671	バニラアイスクリーム
n01591301	ムナジロゴジュウカラ
n01579410	深山鴉
n04206225	恙虫
n01572489	ボルチモアムクドリモドキ
n09942970	将校
n11820965	メセン
n07586604	ピースープ
n01854415	アイサ
n03811295	原潜
n03201208	飯台
n03100346	ソファーベッド
n10092794	ファーストレディ
n04123567	袋地
n07929519	珈琲
n09433839	海岸線
n03610524	犬小屋
n07611839	ムース
n02123478	アンゴラ
n03306385	速達
n02050004	カイツブリ目
n02824448	鐸
n07697313	チーズバーガー
n03113657	装束
n04257986	太陽電池
n12743352	竜眼
n01338685	疱疹
n09403211	放熱器
n10002760	デモンストレーター
n12709901	マンダリン
n00021265	滋養分
n03376159	羊小屋
n04554406	洗濯板
n02742753	箭
n03084420	コンピューター回路
n04555291	手洗い
n03908204	鉛筆
n03157348	シンバル
n03584254	ｉＰｏｄ
n03757604	メトロノーム
n03779370	鋳型
n04477219	踏み車
n03329663	過書船
n07739506	林檎
n03908618	筆箱
n10500217	女王
n04052757	RAM
n03563967	道具
n02390015	紡績機械
n04239074	引戸
n03602883	ジョイスティック
n03062015	シース
n01727646	ナミヘビ
n07606669	ゼリービーンズ
n10340312	鳴物師
n07932841	茶葉
n07690019	フランクドッグパン
n04114844	ルーター
n09767197	行為者
n12658308	ナナカマド
n03128519	軟膏剤
n03558176	アイスリンク
n03281145	昇降機
n02402425	黒牡丹
n02108915	フレンチ・ブルドッグ
n10375314	女房
n09874725	花嫁御寮
n12088223	ヤマノイモ
n12086012	バンダ
n02030035	エリマキシギ
n04258438	ソーラーハウス
n04502670	ツイーター
n02115096	ジャッカル
n09437454	斜面
n07561112	飯
n04269822	ゲートル
n03511175	生垣
n04508489	パンツ
n03273913	電気冷蔵庫
n12709688	グレープフルーツ
n03092166	温室
n03302938	排気
n04181228	縛
n14915184	氷
n02404186	肉牛
n01662622	カメ
n04270891	鑓
n04270371	スピーカーホン
n12020507	金盞花
n03437741	ギンガム
n03442756	ゴール
n03355768	瓶
n04277826	遠心機
n02379329	モルガン
n03119396	クーペ
n00015388	鳥獣
n10645017	二等軍曹
n04460130	高閣
n02086240	シーズー
n04451818	職業上の必要具
n03055857	譲与
n07682477	イングリッシュマフィン
n04539794	ボイル
n07903962	グラッパ
n12328398	ミソハギ
n10092488	一塁
n03154073	裁断師
n07696839	クラブサンドイッチ
n07937461	クスクス
n02837789	ビキニ
n07745940	莓
n10419785	ピーターパン
n04504141	背広
n03336282	フィギュアスケート
n09606527	異常
n07924033	果汁
n11758799	紫檀
n02709637	錨鎖
n03753077	メートル
n02508213	アライグマ
n10159533	ハンググライダー
n02740300	装甲人員運搬車
n03927091	顕微鏡写真
n03668488	灯台船
n07755707	マスクメロン
n09468604	迫
n07753275	パイナップル
n02806088	砦
n04073948	僧院
n10120330	清掃夫
n11690455	花脣
n03254862	ダルシマー
n10679174	外科医
n03992325	ポプリ
n03948242	ピスト
n09641002	白人
n03272562	電気機関車
n04019541	パック
n02869837	ポークボンネット
n07596684	菓子
n03385557	要塞
n02568959	ハタ
n12461466	ツルボ
n02620578	テッポウウオ
n12806015	オオスグリ
n07754451	パンノキ
n04275548	網
n09913593	チアリーダー
n10299250	進行掛り
n01567879	ウィルソンアメリカムシクイ
n02757061	オーディオCD
n11966083	ヒメジョオン
n03775388	ミクサー
n12761284	マンゴー
n03110669	喇叭
n03029197	教会の塔
n04232153	タツナミソウ
n03356858	縁
n03697007	製材所
n02382204	痩せ馬
n01603600	レンジャク
n01942869	アワビ
n01968897	鸚鵡貝
n01632601	タイガーサラマンダー
n03113835	衣装
n04295081	鞍部
n09239302	窟
n02767433	裏
n03208556	盤
n02843276	鳥籠
n03057021	襲
n03513137	鉄帽
n01674990	ヤモリ
n03414162	ゲーム用品
n12947313	花水木
n09636339	黒奴
n03919289	乳棒
n10247358	少女
n09274152	断層崖
n04264765	宇宙カプセル
n03259505	館
n03032252	映画館
n03934042	窓間壁
n02041875	オオカモメ
n07886572	醸造酒
n04528079	緑青
n09991867	気に入り
n03272010	電気ギター
n10082687	フェザー級
n04161358	腰掛け
n12606545	ツユクサ科
n02191773	黒蠅
n01443537	金魚
n03679384	住居空間
n01991028	草鞋虫
n03262932	安楽椅子
n02871005	ブックエンド
n03532672	鉤
n07844042	酪漿
n02656670	翻車魚
n07823951	カレー
n12767648	ウルシ
n04256520	長椅子
n02942699	スチールカメラ
n03555564	皮下針
n04523525	円蓋
n02291748	衣魚
n09366317	高台
n02445715	毛長鼬
n02787622	バンジョー
n09428293	湾岸
n02669723	法服
n02099849	チェサピーク・ベイ・レトリーバー
n03412058	美術館
n04290615	スプートニク
n03085013	キーパッド
n01943087	トコブシ
n01944390	蝸牛
n04509260	段違い平行棒
n03938244	枕
n03325088	飲み口
n02852360	ブリスター包装
n07592481	ビーフシチュー
n04591517	風力タービン
n04028581	鉄塔
n01640846	アカガエル科
n09932508	炭鉱労働者
n02079851	ゼニガタアザラシ
n03078802	通勤電車
n10167152	ヘビー級
n02958343	車
n02872529	中継局
n02683323	アフガン
n09894143	枢機卿
n02869249	カスタネット
n04489817	棒付きキャンデー
n09743792	ゴーファー
n04160847	探照燈
n03096960	制御装置
n03577672	迎撃機
n02112826	ウェルシュ・コーギー
n11825351	ケイトウ
n04497570	表着
n08596076	リトラル
n04465501	トラクター
n03435593	ジオデシック・ドーム
n01906749	海綿動物
n03148727	円頂
n04520170	ヴァン
n02747802	灰皿
n03425769	ガス
n10223177	騎手
n02169023	木挽き
n10260706	生きている人
n12142085	麦
n10004718	主任教授
n01924916	扁形動物
n04336792	担架
n02790996	バーベル
n10279018	機械工
n02174001	カブトムシ亜科
n07867164	ファラフェル
n03916031	香水
n10300303	仲間
n03733805	メジャーカップ
n05450617	組織球
n04256891	ソフトボール
n04374735	ユダヤ教会堂
n01532511	マツノキヒワ
n11786539	里芋
n04559730	水位計
n09818022	宇宙飛行士
n04053508	距離計
n11621547	ヨーロッパ樅
n07755089	ココア
n04593077	ウィングチェア
n03732020	モーゼル
n04067818	食堂
n10780284	赤い信女
n02110063	アラスカン・マラミュート
n02758134	観客席
n02126640	マーゲイ
n02976939	キャッシュボックス
n03859495	アウターウエア
n02140049	オオコウモリ
n04501550	回転盤
n04385799	尾部ローター
n02984061	聖堂
n04349306	地下鉄
n12493208	イナゴマメ
n04413969	アパート
n02066245	コククジラ
n04573281	ウェルト
n09450163	火輪
n07609632	トリュフ
n01589286	キバシリ
n03365991	階層
n03120778	法廷
n03565830	受信箱
n01532829	メキシコマシコ
n11628793	アメリカマツ
n03224603	ドーマーウインドー
n02593019	落
n11672400	野の花
n09800964	被任命者
n02333909	クマネズミ
n11508382	雪降り
n07727048	インゲンマメ
n03984234	磁器
n10091651	火消役
n04592099	ワイングラス
n02104523	牧羊犬
n03599486	力車
n01970667	葵貝
n07883251	水薬
n09229709	泡沫
n04330267	煖炉
n01730812	レーサー
n10696508	テクニシャン
n07827284	サフラン
n02689144	機体
n02112137	チャウチャウ
n02640242	チョウザメ
n04068601	反射望遠鏡
n02738031	軍事兵器
n02588286	イサキ
n07744682	レッドカーラント
n03703862	マドラス
n10575463	シード
n07844604	牛乳
n04446276	雪隠
n10570019	長官
n12157769	瓜の蔓
n12858150	モナルダ
n04575824	輪軸
n01848555	縞味
n01613615	幼鳥
n07747607	紅蜜柑
n03899768	中庭
n01616764	禿鷲
n04379243	机
n07754684	波羅蜜
n02900705	折鞄
n01464844	卵黄
n07587023	羮
n03482252	ハンモック
n03251766	乾燥機
n04374315	仕込み杖
n04467665	リグ
n02124623	山猫
n04237423	スライサー
n03767745	ミナレット
n09836519	マタドール
n11943660	キンセンカ
n03631177	レース
n03891051	パーカ
n12020736	アフリカンマリーゴールド
n02892948	ナックルダスター
n10017272	ディスクジョッキー
n03262072	耳栓
n10091450	火喰い芸人
n12648045	モモ
n12827537	ヨルガオ
