n04403638	telescope
n04259630	sombrero
n02047975	Atlantic puffin
n04335886	streetlight
n04566756	weathercock
n02048115	horned puffin
n03179910	desk phone
n04328186	stopwatch
n02137549	mongoose
n02433925	caribou
n04466871	trail bike
n09283405	foothill
n11785668	caladium
n13163991	branchlet
n02887970	bracelet
n01515303	bird of passage
n02209354	carpenter bee
n11924445	burdock
n01562265	robin
n04517823	vacuum
n12483625	bear grass
n03055418	clutch bag
n07919572	cafe au lait
n11754893	mimosa
n01529672	finch
n10387196	right fielder
n02470325	ape
n07766173	litchi
n01664674	Pacific ridley
n03320519	fancy dress
n04146614	school bus
n12655869	raspberry
n07611267	flan
n07841639	hard-boiled egg
n04474035	transporter
n03516844	Hessian boot
n01806847	California quail
n09896685	carpenter
n02496913	lemur
n07611358	frozen dessert
n03196062	digital camera
n02080146	harp seal
n04392526	tape deck
n07924834	orange juice
n10145590	great grandmother
n10098710	foe
n01521756	rhea
n03221720	door
n11680596	pollen tube
n07889274	malt
n07816052	sassafras
n02524202	pollack
n07682808	garlic bread
n12939282	common fennel
n07746186	persimmon
n01541102	pine grosbeak
n07936745	mineral water
n02068541	bottle-nosed whale
n01957335	soft-shell clam
n04136510	sash
n04484432	triode
n09457979	tidal basin
n02532602	sardine
n09475925	waterside
n07842433	deviled egg
n03549589	hurdle
n07881800	beverage
n07863374	pasta
n03742019	medicine ball
n02096177	cairn
n02565573	bass
n09230041	burrow
n02105855	Shetland sheepdog
n07818995	marjoram
n07801508	oil cake
n04096848	roadblock
n10787470	woman
n12338796	mountain ash
n11883328	wallflower
n02043063	tern
n01592257	black-capped chickadee
n03497352	hasp
n04244379	sluice
n02377181	stallion
n07587700	clam chowder
n02422106	hartebeest
n15089258	vitamin
n10652605	state treasurer
n07903208	brandy
n13125117	root
n07860805	batter
n09294877	grotto
n02570838	surfperch
n02007558	flamingo
n02027897	greenshank
n11727358	meeting house
n07721018	green pepper
n11892029	Malcolm stock
n09415584	riverbank
n03502509	headdress
n04060647	receiver
n10077593	fan
n03525074	hoist
n07867324	fish and chips
n02011805	American bittern
n03409393	gable
n07933154	tea bag
n09415671	riverbed
n04160586	seaplane
n12450344	dogtooth violet
n01609956	marsh harrier
n12596709	royal palm
n02407959	Old World buffalo
n09472597	volcano
n09331251	lakefront
n03343853	firearm
n03973945	pod
n07907943	liqueur
n03461385	grocery store
n09610405	commoner
n01339336	herpes zoster
n03644378	lasso
n07746334	acerola
n02226970	locust
n12173664	hollyhock
n09916348	chief executive officer
n10529231	rich person
n01663401	sea turtle
n12560282	pea
n12924623	castor-oil plant
n09835506	ballplayer
n02880393	bow and arrow
n07605380	fondant
n01537895	ortolan
n03863108	overall
n02736798	argyle
n02127292	common lynx
n07841345	egg yolk
n02847631	black tie
n03314780	face powder
n04613696	yurt
n03817191	negative
n10568358	second cousin
n02402010	bovine
n04386792	talcum
n03713436	majolica
n02127678	caracal
n00007846	person
n03928116	piano
n01936391	polychaete
n04453390	toothpick
n03469493	gunlock
n04102618	roller skate
n03594734	jean
n04220250	silo
n04309348	steamer
n02266050	dobson
n07764847	avocado
n07765208	elderberry
n10036929	drummer
n03555426	hypermarket
n07732636	popcorn
n07248320	book jacket
n03607659	Kalashnikov
n12939874	cow parsnip
n12849416	henbit
n10450303	politician
n02381261	dun
n04574999	wheel
n04247630	smooth plane
n12259316	pinesap
n04357121	sunroof
n03417042	garbage truck
n04486054	triumphal arch
n09929298	climber
n02129463	lioness
n07809096	ingredient
n02281787	lycaenid
n03660124	Levi's
n02978055	casket
n07869391	hash
n03896103	passenger ship
n02757462	audio system
n07722485	green onion
n02708711	analyzer
n10078806	farmer
n12201580	cacao
n02256656	cicada
n10624074	son
n03884397	panpipe
n01852671	muscovy duck
n07579688	piece de resistance
n04166281	sedan
n03636649	lamp
n03847823	open-air market
n13130726	scape
n04111668	rotor
n11711537	star magnolia
n04199027	shoe
n03325584	feather boa
n02934168	cable
n03187037	dial
n07936548	soda water
n04517408	vacation home
n02035210	black-winged stilt
n04508949	underwear
n04350905	suit
n02500267	indri
n09259219	crater
n01558765	ring ouzel
n07802026	hay
n03490884	hanger
n03016868	chiffon
n10053808	employee
n04303497	stapler
n10015485	director
n15092227	vitamin D
n09443281	spoor
n07844867	soya milk
n03877845	palace
n02854926	blouse
n03676759	liquid crystal display
n02062430	cetacean
n01796729	moorhen
n04279462	spinning wheel
n03459775	grille
n02631475	black marlin
n02949542	canister
n04020298	pulley
n02226183	orthopterous insect
n04190052	shelf
n02997391	ceramic
n03431745	gearing
n07829412	sauce
n02629230	bonito
n03779128	mohair
n12530818	woodwaxen
n07731952	corn
n12849279	white dead nettle
n03411079	gaiter
n02083672	bitch
n12166128	bottle gourd
n13220122	scouring rush
n12953484	royal fern
n03902482	peach orchard
n02411999	ewe
n07743224	bilberry
n03428090	gatehouse
n01852400	mandarin duck
n02769290	backhoe
n04476259	tray
n02954938	cap
n03207835	dishtowel
n02811468	battle-ax
n07581775	cocktail
n07875152	potpie
n01569423	myrtle warbler
n01860187	black swan
n02086079	Pekinese
n03721047	marble
n07930433	pina colada
n03393912	freight car
n02618827	dragonet
n07890068	pale ale
n10300154	mate
n12568186	black locust
n07557434	dish
n02109961	Eskimo dog
n03643149	laryngoscope
n04285146	sports equipment
n07608098	marshmallow
n02930766	cab
n03344642	firebrick
n02043333	sea swallow
n03039827	cleaners
n04533700	videocassette
n03358172	flash
n03644858	latch
n02761206	automation
n03387653	foundry
n07273802	cairn
n03085219	computer monitor
n02860847	bobsled
n02988304	CD player
n01620414	black vulture
n02826886	bell tower
n12062468	helleborine
n06267991	yellow journalism
n03856012	orphanage
n02133161	American black bear
n10207169	in-law
n03838899	oboe
n07720875	bell pepper
n03028079	church
n03309465	eyepiece
n02422699	impala
n02117135	hyena
n04234887	slate roof
n02786837	bandsaw
n13084184	succulent
n07569644	whole wheat flour
n03624134	knife
n04340521	stroboscope
n04608329	writing desk
n03470629	gun trigger
n02873839	booth
n11959632	artichoke
n02913152	building
n01603953	Bohemian waxwing
n04531098	vessel
n02754103	atomizer
n07886849	beer
n09632518	worker
n04258138	solar dish
n07723039	leek
n12059314	dendrobium
n09445289	steppe
n03400231	frying pan
n04576211	wheeled vehicle
n12629666	loquat
n03934656	pieta
n02381460	wild horse
n03327234	fence
n03864692	overhead projector
n04074185	reliquary
n02123045	tabby
n04425804	third base
n03793489	mouse
n02212062	wasp
n07812184	spice
n02871314	bookmobile
n01458842	embryo
n03805725	nail polish
n03415486	gangplank
n02312640	chrysalis
n01732614	corn snake
n10477713	probationer
n02912557	buggy
n07815424	nutmeg
n02657694	flounder
n09792969	anchor
n02537525	rainbow trout
n07774719	pecan
n04153751	screw
n02831724	berth
n03145147	cuckoo clock
n03273551	electric organ
n03346455	fireplace
n09208496	asterism
n07693048	cinnamon roll
n03976467	Polaroid camera
n03712337	mainsail
n09871229	cub
n02207805	worker bee
n02980036	caster
n07576781	barbecue
n10146416	Green Beret
n04150980	scraper
n03410938	gaiter
n13194572	lady fern
n07907161	Irish
n02300797	silkworm
n11815491	silene
n10282672	maid
n04273569	speedboat
n07886463	aperitif
n03078995	compact
n03158885	dagger
n02813544	bazaar
n02429456	pronghorn
n04602762	workroom
n02002724	black stork
n01616318	vulture
n12997919	mushroom
n03715669	mallet
n07842753	omelet
n04479046	trench coat
n02733524	arch
n01917289	brain coral
n02534734	salmon
n07772935	coconut
n02760658	automatic pistol
n04041544	radio
n03592245	jail
n04051549	ramp
n09269472	downhill
n09259025	crag
n03033362	circuit
n06267145	newspaper
n11623967	deodar
n02481823	chimpanzee
n03445326	gold plate
n03996849	power steering
n11542137	sphagnum
n02489166	proboscis monkey
n03489162	hand tool
n03683079	lock
n03528100	home
n03109881	corner
n04414199	terrarium
n12281241	birch
n04406239	television room
n03473227	gyroscope
n07755929	cantaloup
n04037443	racer
n10633450	spectator
n04125021	safe
n01555004	pitta
n03037404	clapperboard
n03378765	football
n12717224	tree of heaven
n01584853	house wren
n03786715	mortar
n04538552	vise
n07827410	sesame seed
n03300443	ethernet cable
n03061211	cockhorse
n03253886	duffel bag
n07908647	anisette
n12806732	plane tree
n11895092	radish
n03443149	goalpost
n03054901	clutch
n02583890	tetra
n03045337	cloak
n04186455	shawl
n04224842	sitar
n02101108	spaniel
n07750146	pomelo
n03604156	jukebox
n12814643	catalpa
n02704949	amphitheater
n03864356	overhang
n03384352	forklift
n02755823	attic
n09626238	peer
n12931906	angelica
n09903153	celebrity
n12086539	vanilla
n02813752	bazooka
n09928136	cleric
n03436417	gift shop
n09893191	captain
n02421449	gnu
n04128499	sailboat
n02109047	Great Dane
n02132580	grizzly
n03758089	mezzanine
n12879527	calceolaria
n03704549	magazine rack
n03430551	gear
n04382880	tachometer
n11853813	night-blooming cereus
n03977966	police van
n02764044	ax
n03929660	pick
n09930257	closer
n01623615	screech owl
n04038727	rack
n01533339	canary
n04506506	ultracentrifuge
n02093647	Bedlington terrier
n03777754	modem
n03978966	polo shirt
n02963302	card index
n04208210	shovel
n03394480	freight train
n12582665	sago palm
n03351434	fishing gear
n12611640	naiad
n02114100	wolf
n12049562	calypso
n13133613	ear
n04138261	satin
n07857170	miso
n03550153	hut
n01792955	brood hen
n03927299	Photostat
n02933340	cabinet
n03079741	compartment
n07807922	fruit salad
n01606809	Cooper's hawk
n09676884	Slav
n03594945	jeep
n01677747	marine iguana
n10229883	keyboardist
n07839312	pepper sauce
n04587559	windmill
n02752615	athletic supporter
n02946270	camp chair
n02821202	bedpan
n01530439	chaffinch
n01498041	stingray
n12785889	stonecrop
n04587648	window
n07725789	snow pea
n03640988	lantern
n04096066	road
n01613294	eagle
n03424489	gas meter
n07865484	chow mein
n02948557	candlestick
n07930864	cup
n02106166	Border collie
n07643981	gelatin
n02808304	bath towel
n02317335	starfish
n03894379	partition
n01785667	house centipede
n09359803	mountain
n12546183	lupine
n03850245	operating room
n02960903	carafe
n03859170	outboard motorboat
n03495039	harness
n01627424	amphibian
n03606251	junk shop
n04540053	volleyball
n02391049	zebra
n12198286	Chinese parasol tree
n04520382	van
n03177165	depilatory
n03043958	clip
n03015254	chest of drawers
n07935379	oolong
n04461437	town hall
n12662772	coffee
n01667778	terrapin
n10486166	protegee
n03098959	control tower
n10249459	lawman
n11709205	star anise
n02313008	queen
n02699629	altar
n02493509	titi
n04232800	skylight
n03277771	electronic device
n07936263	drinking water
n12805146	currant
n03904909	peeler
n07816164	basil
n02919648	bung
n12862512	plectranthus
n03438257	glass
n02526121	eel
n03719053	mansion
n09858165	black belt
n03566193	incinerator
n03610682	kepi
n02776205	bait
n03467984	gun
n07929351	coffee bean
n03948459	pistol
n11674332	inflorescence
n01322221	baby
n02699494	altar
n04214282	sidecar
n10076604	falconer
n02013177	whooping crane
n02413593	Hampshire
n04571292	weight
n01664065	loggerhead
n03404149	fur
n03946162	pipefitting
n02416880	billy
n01821869	budgerigar
n04131690	saltshaker
n13232779	honey mushroom
n10155849	hairdresser
n02887489	brace
n03446070	golf club
n07907548	Scotch
n11989393	edelweiss
n04524313	vehicle
n07642933	jam
n03205574	dirndl
n03343560	fire
n07687211	white bread
n03909160	pendulum
n03045228	clipper
n03835197	nude
n02355227	squirrel
n03267696	elastic
n09620078	inhabitant
n01581984	Clark's nutcracker
n03581125	intersection
n01533000	purple finch
n01839086	green woodpecker
n12449296	camas
n02432983	elk
n12902662	night jasmine
n12116429	orchard grass
n00005787	benthos
n04250850	snorkel
n04124202	saddle blanket
n02424305	kudu
n02977936	casino
n04018667	public toilet
n03770679	minivan
n09246464	cliff
n07760859	custard apple
n04264628	space bar
n03094159	contact
n03206282	disco
n03068998	collar
n07615671	vanilla ice cream
n01591301	white-breasted nuthatch
n01579410	rook
n04206225	shot glass
n01572489	Baltimore oriole
n09942970	commissioned officer
n11820965	fig marigold
n07586604	pea soup
n01854415	merganser
n03811295	nautilus
n03201208	dining table
n03100346	convertible
n10092794	first lady
n04123567	sacking
n07929519	coffee
n09433839	shoreline
n03610524	kennel
n07611839	mousse
n02123478	Angora
n03306385	express
n02050004	grebe
n02824448	bell
n07697313	cheeseburger
n03113657	costume
n04257986	solar cell
n12743352	longan
n01338685	herpes
n09403211	radiator
n10002760	demonstrator
n12709901	mandarin
n00021265	food
n03376159	fold
n04554406	washboard
n02742753	arrow
n03084420	computer circuit
n04555291	washroom
n03908204	pencil
n03157348	cymbal
n03584254	iPod
n03757604	metronome
n03779370	mold
n04477219	treadmill
n03329663	ferry
n07739506	eating apple
n03908618	pencil box
n10500217	queen
n04052757	random-access memory
n03563967	implement
n02390015	jennet
n04239074	sliding door
n03602883	joystick
n03062015	cocktail dress
n01727646	colubrid snake
n07606669	jelly bean
n10340312	musician
n07932841	tea
n07690019	frankfurter bun
n04114844	router
n09767197	actor
n12658308	rowan
n03128519	cream
n03558176	ice rink
n03281145	elevator
n02402425	cattle
n02108915	French bulldog
n10375314	old lady
n09874725	bride
n12088223	yam
n12086012	vanda
n02030035	ruff
n04258438	solar house
n04502670	tweeter
n02115096	jackal
n09437454	slope
n07561112	diet
n04269822	spat
n03511175	hedge
n04508489	underpants
n03273913	electric refrigerator
n12709688	grapefruit
n03092166	conservatory
n03302938	exhaust
n04181228	shackle
n14915184	ice
n02404186	beef
n01662622	chelonian
n04270891	spear
n04270371	speakerphone
n12020507	marigold
n03437741	gingham
n03442756	goal
n03355768	flagon
n04277826	spin dryer
n02379329	Morgan
n03119396	coupe
n00015388	animal
n10645017	staff sergeant
n04460130	tower
n02086240	Shih-Tzu
n04451818	tool
n03055857	coach house
n07682477	English muffin
n04539794	voile
n07903962	grappa
n12328398	loosestrife
n10092488	first baseman
n03154073	cutter
n07696839	club sandwich
n07937461	couscous
n02837789	bikini
n07745940	strawberry
n10419785	Peter Pan
n04504141	two-piece
n03336282	figure skate
n09606527	anomaly
n07924033	fruit juice
n11758799	coralwood
n02709637	anchor chain
n03753077	meter
n02508213	common raccoon
n10159533	hang glider
n02740300	armored personnel carrier
n03927091	photomicrograph
n03668488	lightship
n07755707	muskmelon
n09468604	valley
n07753275	pineapple
n02806088	bastion
n04073948	religious residence
n10120330	garbage man
n11690455	petal
n03254862	dulcimer
n10679174	surgeon
n03992325	potpourri
n03948242	piste
n09641002	white man
n03272562	electric locomotive
n04019541	puck
n02869837	bonnet
n07596684	sweet
n03385557	fortification
n02568959	grouper
n12461466	scilla
n02620578	archerfish
n12806015	gooseberry
n07754451	breadfruit
n04275548	spider web
n09913593	cheerleader
n10299250	master of ceremonies
n01567879	Wilson's warbler
n02757061	audio CD
n11966083	daisy fleabane
n03775388	mixer
n12761284	mango
n03110669	cornet
n03029197	church tower
n04232153	skullcap
n03356858	flange
n03697007	lumbermill
n02382204	hack
n01603600	waxwing
n01942869	abalone
n01968897	chambered nautilus
n01632601	tiger salamander
n03113835	costume
n04295081	stable gear
n09239302	cavern
n02767433	back
n03208556	disk
n02843276	birdcage
n03057021	coat
n03513137	helmet
n01674990	gecko
n03414162	game equipment
n12947313	common white dogwood
n09636339	Black
n03919289	pestle
n10247358	lass
n09274152	escarpment
n04264765	space capsule
n03259505	dwelling
n03032252	cinema
n03934042	pier
n02041875	black-backed gull
n07886572	brew
n04528079	verdigris
n09991867	darling
n03272010	electric guitar
n10082687	featherweight
n04161358	seat
n12606545	spiderwort
n02191773	blowfly
n01443537	goldfish
n03679384	living quarters
n01991028	woodlouse
n03262932	easy chair
n02871005	bookend
n03532672	hook
n07844042	milk
n02656670	ocean sunfish
n07823951	curry
n12767648	varnish tree
n04256520	sofa
n02942699	camera
n03555564	hypodermic needle
n04523525	vault
n02291748	clothes moth
n09366317	natural elevation
n02445715	skunk
n02787622	banjo
n09428293	seashore
n02669723	academic gown
n02099849	Chesapeake Bay retriever
n03412058	gallery
n04290615	sputnik
n03085013	computer keyboard
n01943087	ormer
n01944390	snail
n04509260	uneven parallel bars
n03938244	pillow
n03325088	faucet
n02852360	blister pack
n07592481	beef stew
n04591517	wind turbine
n04028581	pylon
n01640846	true frog
n09932508	coal miner
n02079851	harbor seal
n03078802	commuter
n10167152	heavyweight
n02958343	car
n02872529	booster
n02683323	afghan
n09894143	cardinal
n02869249	bones
n04489817	trowel
n09743792	Minnesotan
n04160847	searchlight
n03096960	control
n03577672	interceptor
n02112826	corgi
n11825351	cockscomb
n04497570	tunic
n08596076	littoral
n04465501	tractor
n03435593	geodesic dome
n01906749	sponge
n03148727	cupola
n04520170	van
n02747802	ashtray
n03425769	gas ring
n10223177	jockey
n02169023	sawyer
n10260706	life
n12142085	wheat
n10004718	department head
n01924916	flatworm
n04336792	stretcher
n02790996	barbell
n10279018	machinist
n02174001	rhinoceros beetle
n07867164	falafel
n03916031	perfume
n10300303	mate
n03733805	measuring cup
n05450617	histiocyte
n04256891	softball
n04374735	synagogue
n01532511	pine siskin
n11786539	taro
n04559730	water gauge
n09818022	astronaut
n04053508	rangefinder
n11621547	European silver fir
n07755089	cocoa
n04593077	wing chair
n03732020	Mauser
n04067818	refectory
n10780284	widow
n02110063	malamute
n02758134	auditorium
n02126640	margay
n02976939	cashbox
n03859495	outerwear
n02140049	flying fox
n04501550	turntable
n04385799	tail rotor
n02984061	cathedral
n04349306	subway train
n12493208	carob
n04413969	terraced house
n02066245	grey whale
n04573281	welt
n09450163	sun
n07609632	truffle
n01589286	creeper
n03365991	floor
n03120778	court
n03565830	in-basket
n01532829	house finch
n11628793	green douglas fir
n03224603	dormer
n02593019	snapper
n11672400	wildflower
n09800964	appointee
n02333909	black rat
n11508382	snow
n07727048	kidney bean
n03984234	porcelain
n10091651	fireman
n04592099	wineglass
n02104523	shepherd dog
n03599486	jinrikisha
n01970667	paper nautilus
n07883251	potion
n09229709	bubble
n04330267	stove
n01730812	racer
n10696508	technician
n07827284	saffron
n02689144	airframe
n02112137	chow
n02640242	sturgeon
n04068601	reflecting telescope
n02738031	armament
n02588286	grunt
n07744682	red currant
n03703862	madras
n10575463	seeded player
n07844604	milk
n04446276	toilet
n10570019	secretary
n12157769	gourd
n12858150	monarda
n04575824	wheel and axle
n01848555	garganey
n01613615	young bird
n07747607	orange
n03899768	patio
n01616764	Old World vulture
n04379243	table
n07754684	jackfruit
n02900705	briefcase
n01464844	yolk
n07587023	potage
n03482252	hammock
n03251766	dryer
n04374315	sword cane
n04467665	trailer truck
n02124623	wildcat
n04237423	slicer
n03767745	minaret
n09836519	matador
n11943660	common marigold
n03631177	lace
n03891051	parka
n12020736	African marigold
n02892948	brass knucks
n10017272	disk jockey
n03262072	earplug
n10091450	fire-eater
n12648045	peach
n12827537	moonflower
n02759387	autogiro
n03685307	lodge
n03001627	chair
n07768694	pomegranate
n01534582	dark-eyed junco
n02962200	carburetor
n04598965	woof
n09416890	roof
n03133050	crochet needle
n04479823	trestle
n02213107	hornet
n03086670	concertina
n04457767	torque converter
n09872066	bragger
n03945615	pipe
n03417749	garden
n04587404	windmill
n01619310	buzzard
n02129604	tiger
n03557590	ice machine
n02139199	bat
n09287968	geological formation
n02580679	horse mackerel
n13040303	stinkhorn
n01775370	European wolf spider
n04471632	transistor
n03479397	hall of residence
n12171966	okra
n10631309	Speaker
n10732010	trumpeter
n13044778	earthstar
n01743086	anaconda
n12023726	tansy
n04042358	radiogram
n02849154	blanket
n02403231	bullock
n01963571	mussel
n02891188	brake system
n07814634	cumin
n02835271	bicycle-built-for-two
n07686873	toast
n03976657	pole
n02442845	mink
n01592084	chickadee
n04532670	viaduct
n11876432	brussels sprout
n04465358	traction engine
n13055577	Boletus edulis
n10512372	recruit
n04261767	sounder
n10707233	therapist
n04001265	pressure cooker
n04525305	vending machine
n11855274	pokeweed
n03721590	marina
n03770439	miniskirt
n07698250	gyro
n03563460	impeller
n12279458	black oak
n01570267	ovenbird
n01407798	green algae
n02376918	male horse
n02437136	camel
n03519081	highlighter
n09406793	reef
n09917593	child
n02127052	lynx
n01443831	crucian carp
n03666591	lighter
n04539203	vivarium
n07617188	pudding
n02672371	accommodation
n03004824	chancel
n07612996	pudding
n10225219	judge
n02959942	car
n03118969	country house
n03401279	fuel injection
n04110178	rose window
n04058239	read-only memory
n12168565	lobelia
n12877244	snapdragon
n04371563	swimsuit
n02437616	llama
n03649909	lawn mower
n03958752	plastic wrap
n03541696	hostel
n02280649	cabbage butterfly
n04583620	widebody aircraft
n07575076	lunch
n07599911	peanut brittle
n04081844	restraint
n04108268	rope
n02931417	cabaret
n01538059	reed bunting
n13110915	nut tree
n03454885	grater
n04067472	reel
n03070193	collider
n03363749	flintlock
n10421016	Pharaoh
n03404360	fur hat
n03221059	domino
n02978881	cassette
n04599235	wool
n03079136	compact
n07861158	bread dough
n02804610	bassoon
n01629276	salamander
n03247083	dropper
n03146777	culotte
n04548362	wallet
n03800933	musical instrument
n04115256	row house
n11792341	spathiphyllum
n11887119	wallflower
n01527194	accentor
n11876803	broccoli
n07819166	mint
n11931540	common mugwort
n07744811	blackberry
n07840804	egg
n02512053	fish
n04347519	submachine gun
n03089624	confectionery
n01968315	cephalopod
n02896442	breeches
n02093428	American Staffordshire terrier
n04318787	stile
n03434188	generator
n02935658	cafe
n12915140	lantana
n10324560	model
n01579028	crow
n03957420	plaster
n07856270	spread
n01838598	woodpecker
n04095342	rivet
n10360747	noncommissioned officer
n07816296	bay leaf
n04350581	sugar bowl
n11892181	Virginian stock
n04568841	webbing
n03268790	electric
n07920349	cappuccino
n07680517	breadstick
n09288635	geyser
n12400489	breadfruit
n12904314	henbane
n02112706	Brabancon griffon
n02332156	house mouse
n03099945	converter
n03908714	pencil sharpener
n02810471	battery
n13003254	death cap
n04184316	shantung
n12711596	lemon
n04452615	toolbox
n01581166	Canada jay
n07719839	beet
n07690511	corn muffin
n04450749	tongs
n01521399	rhea
n01844917	aquatic bird
n01568892	yellow warbler
n05259914	pigtail
n03593526	jar
n01469103	sea squirt
n02863750	boiler
n01491361	tiger shark
n04363991	surgery
n04000311	press
n02130308	cheetah
n01623880	spotted owl
n02121620	cat
n02023341	plover
n02795169	barrel
n08518171	campsite
n02946824	camshaft
n03602081	jolly boat
n03967942	plug
n03917198	peristyle
n03238131	dressing room
n01674464	lizard
n07891726	wine
n01322604	puppy
n12121610	fescue
n03254189	dugout
n11634736	incense cedar
n02878222	bottom
n03742115	medicine chest
n11844892	night-blooming cereus
n03877351	paisley
n01624833	long-eared owl
n02490219	marmoset
n04141076	sax
n04103206	rolling pin
n03051540	clothing
n04397768	teakettle
n03278248	electronic equipment
n03650551	layette
n03115400	cotton flannel
n01873310	platypus
n01886756	placental
n12284262	alder
n09828216	baby
n03645011	latch
n02326432	hare
n02004492	policeman bird
n11934807	Michaelmas daisy
n01449374	mosquitofish
n04188179	sheet
n04515003	upright
n03565288	imprint
n12360108	begonia
n01776313	tick
n11810358	baby's breath
n02619550	mudskipper
n02710201	android
n03822504	newsroom
n02278210	fritillary
n02088364	beagle
n04143897	scarf
n03941684	pincer
n02921884	burial chamber
n04243546	slot
n03032811	circle
n02905036	broiler
n03689157	loom
n04026813	push-bike
n10200781	important person
n03168217	deck chair
n01955084	chiton
n04299370	stall
n09399592	promontory
n10432441	pilgrim
n03085915	computer system
n03619650	kit
n03236735	dress
n03518943	highlighter
n03007130	chapel
n02775483	bagpipe
n09820263	athlete
n04132985	samovar
n01444339	electric eel
n11690254	hypanthium
n03035252	circus tent
n01558149	song thrush
n03254374	dugout canoe
n02309337	caterpillar
n03467517	guitar
n02274822	nymphalid
n04482297	tricot
n02480855	gorilla
n10405694	patient
n02947818	candelabrum
n04436329	timber
n12766869	poison ivy
n02763604	aviary
n03049782	closeup lens
n04450640	toner
n03924069	phonograph record
n11753700	white clover
n07859284	sugar
n04591887	wine bucket
n03237992	dressing gown
n10560106	schoolmate
n03449451	gourd
n03874293	paddlewheel
n03322836	farmhouse
n02848216	blade
n01611800	gyrfalcon
n02923129	burner
n07935504	water
n04247440	smoking room
n07691091	drop scone
n07642742	apple butter
n02932019	cabin
n02107312	miniature pinscher
n07762244	papaya
n10722575	trainer
n12245319	azalea
n02896294	breechcloth
n12865824	common sage
n01853498	scoter
n12840749	bugle
n10098245	flutist
n04554211	washboard
n03880323	pan
n04561287	water meter
n03584829	iron
n03344393	fireboat
n04475411	trapeze
n07713763	mustard
n03261776	earphone
n07570720	nutriment
n04009552	projector
n04001499	pressure gauge
n04037964	racing boat
n09905185	certified public accountant
n09889065	call girl
n01616086	osprey
n07902121	neutral spirits
n02911332	buffer
n10070711	exhibitionist
n03491032	hang glider
n02850732	blender
n03036022	city hall
n01855032	red-breasted merganser
n03186285	dhow
n03050864	clothes hamper
n10737103	understudy
n03066359	coil spring
n02445394	sea otter
n12336224	red gum
n09398076	pothole
n02944075	camisole
n03974915	point-and-shoot camera
n04502197	turtleneck
n09713108	Netherlander
n03507963	heat engine
n03094503	container
n07680761	brown bread
n04605726	wrapping
n01574045	New World blackbird
n03595523	jersey
n09830194	back
n03208938	disk brake
n04527648	veranda
n03895866	passenger car
n01835276	goatsucker
n04145863	Schmidt telescope
n04138977	saucepan
n01944812	edible snail
n04266162	space station
n04130143	salad bar
n03766935	millstone
n09920283	choreographer
n03145522	cue
n04125853	safety belt
n09809925	arranger
n02152740	predator
n12128071	dallisgrass
n04238321	slide fastener
n03125729	cradle
n02434954	muntjac
n01622779	great grey owl
n12427184	tiger lily
n03282401	embellishment
n04127904	sail
n02095727	Welsh terrier
n03695857	Luger
n04375405	synchronous converter
n03112869	corset
n07587441	chowder
n10740868	upstart
n03528523	home computer
n03075634	combine
n02922578	burqa
n08659861	oilfield
n03333129	field glass
n03376279	folder
n04305572	stateroom
n03225988	double bed
n04568557	web
n02895438	breathalyzer
n04200800	shoe shop
n02580830	horse mackerel
n03454211	grapnel
n02692877	airship
n10205457	infielder
n04329477	storeroom
n12050959	helleborine
n04265275	space heater
n01527917	skylark
n03986704	portico
n11625003	Norway spruce
n04405762	television monitor
n01389507	protozoan
n05453657	neutrophil
n03202940	diode
n02694045	aisle
n13111881	bonsai
n02419336	chamois
n01578180	hill myna
n02760855	automatic rifle
n02229544	cricket
n13108545	shade tree
n07879450	sushi
n03790512	motorcycle
n04139395	sauna
n02470238	simian
n03625646	knitting needle
n03664943	ligament
n07690152	hamburger bun
n11955896	mistflower
n04511002	university
n01910747	jellyfish
n03162460	darkroom
n03097362	control center
n02361587	groundhog
n02128757	snow leopard
n03574555	institution
n07814390	stick cinnamon
n03863923	overgarment
n02444819	otter
n02769748	backpack
n04603399	workstation
n02099601	golden retriever
n12811027	moss pink
n09971273	countrywoman
n02146371	brown bat
n02753394	atomic clock
n10189278	house physician
n03766322	millinery
n03652729	lean-to
n04288533	spring balance
n07821260	sweet woodruff
n04061793	reception room
n02330245	mouse
n07694516	buttermilk biscuit
n07711080	french fries
n11921395	pearly everlasting
n04355511	sundress
n02801525	basin
n01314388	pest
n09934337	cog
n04238763	slide rule
n14974264	paper
n01424420	plasmodium
n03226880	double door
n07802417	grain
n03384891	formalwear
n03064935	cog
n12753573	red maple
n04389033	tank
n02961544	car bomb
n07917392	sidecar
n07819896	parsley
n03855214	organza
n03041632	cleaver
n01663782	green turtle
n03423719	gasket
n03612814	kettle
n02510455	giant panda
n07831146	carbonara
n01846331	duck
n02128385	leopard
n12580654	Japanese wistaria
n03434285	generator
n12618727	eelgrass
n08633683	waterfront
n02360282	chipmunk
n11703669	laurel
n04440963	tire chain
n03484487	hand cream
n02752496	athletic sock
n04607869	wristwatch
n11981192	strawflower
n04128710	sailcloth
n10034201	drinker
n03071021	cologne
n07857356	wasabi
n03000684	chain saw
n01610552	harrier eagle
n03956157	planetarium
n12027222	salsify
n04243941	slot machine
n04194289	ship
n04216634	sieve
n10348526	Navy SEAL
n09251407	comet
n02992211	cello
n02085374	toy dog
n03726760	mast
n07707451	vegetable
n07843464	souffle
n04192698	shield
n03013580	chemise
