n04403638	望远镜
n07585208	肉汤
n11971927	Barberton Daisy
n03423306	气枪
n03743279	扩音器
n02512938	食用鱼
n07572353	粮食
n01322343	幼崽
n07880213	火锅
n04179824	针线包
n03694639	LP
n02678897	适配器
n07690739	波普尔
n07614825	巧克力冰淇淋
n01883070	袋熊
n09964202	副驾驶
n02120079	北极狐
n03014705	胸部
n02955065	帽子
n03065424	螺旋线圈
n07718747	洋蓟
n04128837	帆船
n02433546	母鹿
n02993368	香炉
n01519563	食火鸡
n02897820	砖
n01922303	蠕虫
n02687821	机场
n03662601	救生艇
n02902079	边缘
n03201638	礼服
n03580518	内部驱动
n01843383	巨嘴鸟
n02812201	战列舰
n02517442	鲶鱼
n03665366	光源
n12708293	橙色
n02012849	起重机
n03745146	动物园
n07765999	枣子
n03896233	旅客列车
n10192839	大亨
n04435653	瓦屋顶
n11853356	圣诞仙人掌
n12384839	迷雾中的爱情
n01497118	锯齿鱼
n12479537	龙血树属
n01608432	风筝
n02114712	红狼
n07904934	欧佐
n02387722	驿马
n04598582	木管乐器木管乐器
n02894605	防波堤
n01585121	沼泽鹪鹩
n01821203	鹦鹉
n02100877	爱尔兰二传手
n02793089	男中音
n09242389	裂口
n10470779	牧师
n04358874	上层建筑
n09428628	海滨
n04154152	螺旋推进器
n02977058	自动取款机
n02698634	登山杖
n02815950	梁
n07696977	开放式三明治
n04030518	四边形
n07866277	里斯塔
n11950345	菊花
n02099712	拉布拉多寻回犬
n02727016	孔径
n10282482	少女
n02073831	海牛
n02988679	CD-ROM
n10467179	总统
n02268443	蜻蜓
n12768682	七叶树
n03424630	汽油机
n03037709	单簧管
n04596852	女装
n09624168	男性
n02393580	貘
n02251775	植物虱子
n03556992	破冰船
n03974070	弹簧棒
n01570839	普通黄喉
n04606574	扳手扳手
n03409297	华达呢
n07576182	冷餐
n02024763	拉普wing
n04089836	骑马
n03038870	击弦古钢琴
n07823105	酸辣
n04589190	窗盲
n11784497	讲坛里的杰克
n10117851	女孩
n03653583	讲台
n03679712	客厅
n03028596	教堂钟声
n12501202	罗望子
n04235860	睡袋
n04249415	小鼓
n04201733	射击制动
n01519873	emu
n02840619	装订
n07722217	洋葱
n13133932	穗状花序
n01981276	帝王蟹
n09393605	平原
n02097130	巨型雪纳瑞
n02879309	精品店
n03010473	底盘
n02029378	桑德林
n04561422	水磨
n12465557	鳞草
n03241093	钻机
n07615774	冰棒棒糖
n03138669	王冠
n04018399	酒店
n03911658	小刀
n09398677	悬崖
n02173373	日本甲虫
n09774783	倡导者
n03487090	车把
n02069412	普通海豚
n07715103	花椰菜
n11857875	玫瑰苔
n03303831	展馆
n03667829	光学显微镜
n02168699	长角甲虫
n03026506	圣诞长袜
n03824381	睡衣
n01549641	西木佩维
n13102775	卷须
n11901294	冰岛罂粟
n14844693	土壤
n03505133	头枕
n02880189	蝴蝶结
n02374451	马
n09629752	旅行者
n02089232	腊肠
n02900160	缰绳
n10513823	红头发
n12249542	杨梅
n03955296	刨床
n09734450	藏文
n03612965	水壶
n02761392	自动机
n04365328	监视系统
n07928696	可口可乐
n01494475	锤头
n04450133	汤米枪
n03367059	落地灯
n06874185	交通灯
n07919441	爱尔兰咖啡
n07822845	辣椒酱
n04556948	角楼
n07733567	大头菜
n07849733	乳清
n04314914	台阶
n02860415	线轴
n02032222	整个狙击手
n03273061	电动机
n07566340	食品
n02919414	捆
n03376595	折叠椅
n11924849	牛蒡
n11772408	长春花
n07614198	冰
n01514752	斗鸡
n03859958	装备
n04605321	精梳毛纱
n02777927	阳台
n12828791	日本牵牛花
n02428349	阿里克斯
n02103406	工作犬
n04275175	香料架
n07561590	饮食的
n10655594	乘务员
n01560105	夜莺
n03456665	大衣
n02849885	鼓风炉
n07690585	约克郡布丁
n03371875	抽水马桶
n02729965	设备
n02791124	理发椅
n13002750	皇家琼脂
n04238128	滑梯
n03372029	槽
n07804657	白米
n02828884	长凳
n03213826	分配点
n01601694	瓦泽尔水
n03743902	纪念碑
n04317833	粘贴
n12719684	旱金莲
n10263411	装卸工
n02758863	自动驾驶室
n09376526	海底
n03011741	结账
n02792552	驳船
n02062744	鲸鱼
n10185793	骑手
n03703730	麦克拉姆
n04596742	炒锅
n03334912	备胎
n07838073	肉汁
n13131618	叶柄
n04259630	帽帽
n02047975	大西洋海雀
n04335886	路灯
n04566756	风标
n02048115	角海雀
n03179910	台式电话
n04328186	秒表
n02137549	猫鼬
n02433925	驯鹿
n04466871	越野车
n09283405	山麓丘陵
n11785668	石蜡
n13163991	小枝
n02887970	手镯
n01515303	过路鸟
n02209354	木工蜜蜂
n11924445	牛蒡
n01562265	罗宾
n04517823	真空吸尘器
n12483625	熊草
n03055418	离合器袋
n07919572	咖啡店
n11754893	含羞草
n01529672	芬奇
n10387196	右外野手
n02470325	猿
n07766173	荔枝
n01664674	太平洋脊索动物
n03320519	化装服装
n04146614	校车
n12655869	树莓
n07611267	弗兰
n07841639	煮熟的鸡蛋
n04474035	小车
n03516844	Hessian靴
n01806847	加利福尼亚鹌鹑
n09896685	木匠
n02496913	狐猴
n07611358	冷冻甜食
n03196062	数码相机
n02080146	竖琴海豹
n04392526	磁带台
n07924834	橙汁
n10145590	曾祖母
n10098710	敌人
n01521756	Rhea
n03221720	门
n11680596	花粉管
n07889274	麦芽
n07816052	檫木
n02524202	波拉克
n07682808	蒜蓉面包
n12939282	普通茴香
n07746186	柿子
n01541102	松果
n07936745	矿泉水
n02068541	瓶鼻鲸
n01957335	软壳蛤
n04136510	窗扇
n04484432	三极管
n09457979	潮汐湖
n02532602	沙丁鱼
n09475925	水边
n07842433	魔鬼蛋
n03549589	障碍
n07881800	饮料
n07863374	面团
n03742019	药丸
n02096177	凯恩
n02565573	低音的
n09230041	地洞
n02105855	设得兰牧羊犬
n07818995	牛至马约兰
n07801508	油饼
n04096848	路障
n10787470	女性
n12338796	山灰
n11883328	瓦弗劳尔
n02043063	燕鸥
n01592257	黑头山雀
n03497352	搭扣
n04244379	水闸
n02377181	种马
n07587700	蛤蜊浓汤
n02422106	羚羊
n15089258	维生素
n10652605	国家财务主管
n07903208	白兰地
n13125117	根
n07860805	面糊
n09294877	grot石窟
n02570838	冲浪
n02007558	火烈鸟
n02027897	格林申克
n11727358	会议室
n07721018	青椒
n11892029	马尔科姆股票
n09415584	河岸
n03502509	头饰
n04060647	接收器
n10077593	风扇
n03525074	升起
n07867324	炸鱼薯条
n02011805	美洲麻鸦
n03409393	山墙
n07933154	茶包
n09415671	河床
n04160586	水上飞机
n12450344	狗牙紫
n01609956	马什·哈里尔
n12596709	皇家棕榈园
n02407959	旧大陆水牛
n09472597	火山
n09331251	湖畔
n03343853	枪械
n03973945	荚果燃料吊舱
n07907943	甜酒
n03461385	杂货店
n09610405	普通人
n01339336	带状疱疹病毒
n03644378	拉索
n07746334	Acerola
n02226970	蝗虫
n12173664	蜀葵
n09916348	首席执行官
n10529231	有钱人
n01663401	海龟
n12560282	豌豆
n12924623	蓖麻油植物
n09835506	棒球运动员
n02880393	弓箭
n07605380	软糖
n01537895	奥尔托兰
n03863108	总体的
n02736798	阿盖尔
n02127292	普通的山猫
n07841345	蛋黄卵黄
n02847631	黑领结
n03314780	面粉
n04613696	蒙古包
n03817191	消极的
n10568358	表弟
n02402010	牛
n04386792	滑石粉
n03713436	马约利卡
n02127678	卡拉卡尔
n00007846	个人
n03928116	钢琴
n01936391	多毛
n04453390	牙签
n03469493	枪栓
n04102618	旱冰鞋
n03594734	牛仔裤
n04220250	筒仓
n04309348	轮船
n02266050	多布森
n07764847	鳄梨
n07765208	接骨木
n10036929	鼓手
n03555426	大型超市
n07732636	爆米花
n07248320	书套
n03607659	卡拉什尼科夫
n12939874	牛防风
n12849416	牛膝
n10450303	政治家
n02381261	遁
n04574999	轮
n04247630	平滑平面
n12259316	松树
n04357121	天窗
n03417042	垃圾车
n04486054	凯旋门
n09929298	攀登者
n02129463	母狮
n07809096	成分
n02281787	莱卡奈德
n03660124	李维斯
n02978055	首饰盒
n07869391	搞砸
n03896103	客船
n02757462	音响系统
n07722485	葱
n02708711	分析仪
n10078806	农夫
n12201580	可可树
n02256656	蝉
n10624074	儿子
n03884397	Panpipe
n01852671	麝香鸭
n07579688	电阻片
n04166281	轿车
n03636649	灯
n03847823	露天市场
n13130726	景观
n04111668	转子
n11711537	星玉兰
n04199027	鞋
n03325584	羽毛公猪
n02934168	电缆
n03187037	拨号
n07936548	苏打水
n04517408	度假旅馆
n02035210	黑翼高跷
n04508949	内衣
n04350905	套装
n02500267	印德里
n09259219	陨石坑
n01558765	环乌泽尔
n07802026	干草
n03490884	衣架
n03016868	雪纺绸
n10053808	雇员
n04303497	订书机
n10015485	主任
n15092227	维生素D
n09443281	斯波尔
n07844867	豆浆
n03877845	宫殿
n02854926	衬衫
n03676759	液晶显示器
n02062430	鲸目动物
n01796729	摩尔根
n04279462	纺车
n03459775	格栅
n02631475	黑马林鱼
n02949542	罐
n04020298	滑轮组
n02226183	直翅目昆虫
n04190052	架子
n02997391	陶瓷
n03431745	齿轮传动系
n07829412	酱
n02629230	博尼托
n03779128	马海毛
n12530818	木蜡
n07731952	玉米
n12849279	白死荨麻
n03411079	绑腿
n02083672	婊子
n12166128	葫芦
n13220122	精练冲刺
n12953484	皇家蕨类
n03902482	桃园
n02411999	母羊
n07743224	越橘
n03428090	门楼
n01852400	桂鸭
n02769290	反铲挖土机
n04476259	托盘
n02954938	帽子
n03207835	洗碗巾
n02811468	战斧
n07581775	鸡尾酒
n07875152	馅饼
n01569423	桃金娘莺
n01860187	黑天鹅
n02086079	北京人
n03721047	大理石
n07930433	皮纳科拉达
n03393912	货车
n02618827	龙舌兰
n07890068	淡啤酒
n10300154	伙伴
n12568186	黑刺槐
n07557434	盘
n02109961	爱斯基摩狗
n03643149	喉镜
n04285146	体育器材
n07608098	棉花糖
n02930766	出租车
n03344642	耐火砖
n02043333	海燕
n03039827	清洁剂
n04533700	盒式录像带
n03358172	闪光灯
n03644858	门闩
n02761206	自动化
n03387653	铸造
n07273802	凯恩
n03085219	计算机监视器
n02860847	雪橇
n02988304	光盘播放机
n01620414	黑秃鹫
n02826886	钟楼
n12062468	嚏根草碱
n06267991	黄色新闻
n03856012	孤儿院
n02133161	美国黑熊
n10207169	在法律上
n03838899	双簧管
n07720875	甜椒
n03028079	教堂
n03309465	目镜
n02422699	黑斑羚
n02117135	鬣狗
n04234887	板岩屋盖
n02786837	带锯
n13084184	多汁的
n07569644	全麦面粉
n03624134	刀
n04340521	频闪灯
n04608329	写字台
n03470629	枪扳机
n02873839	隔间
n11959632	洋蓟
n02913152	建筑物
n01603953	波希米亚蜡像馆
n04531098	容器
n02754103	雾化器
n07886849	啤酒
n09632518	工人
n04258138	太阳能盘
n07723039	韭菜
n12059314	石斛属
n09445289	草原
n03400231	煎锅
n04576211	轮式车辆
n12629666	枇杷
n03934656	皮埃塔
n02381460	野马
n03327234	篱笆
n03864692	投影仪
n04074185	重物
n02123045	斑纹猫
n04425804	三垒
n03793489	鼠标
n02212062	黄蜂
n07812184	香料
n02871314	移动图书
n01458842	胚胎
n03805725	指甲油
n03415486	跳板
n02312640	蛹
n01732614	玉米蛇
n10477713	实习医生
n02912557	马车
n07815424	肉豆蔻
n02657694	挣扎
n09792969	主持人
n02537525	彩虹鳟鱼
n07774719	山核桃
n04153751	螺丝钉
n02831724	卧铺
n03145147	布谷鸟钟
n03273551	电子琴
n03346455	壁炉
n09208496	星芒
n07693048	肉桂卷
n03976467	宝丽来相机
n03712337	主帆
n09871229	小熊
n02207805	工蜂
n02980036	蓖麻脚轮
n07576781	烧烤
n10146416	绿色贝雷帽
n04150980	刮刀
n03410938	绑腿
n13194572	芬夫人
n07907161	爱尔兰
n02300797	家蚕
n11815491	Silene
n10282672	女仆
n04273569	快艇
n07886463	开胃酒
n03078995	紧凑型
n03158885	匕首
n02813544	集市
n02429456	叉角羚
n04602762	工作室
n02002724	黑鹳
n01616318	秃鹫
n12997919	蘑菇
n03715669	锤锤
n07842753	煎蛋卷
n04479046	风衣
n02733524	拱门
n01917289	脑珊瑚
n02534734	鲑鱼
n07772935	椰子
n02760658	自动手枪
n04041544	无线电台
n03592245	监狱
n04051549	斜坡
n09269472	下坡
n09259025	峭壁
n03033362	电路
n06267145	报纸
n11623967	迪达尔
n02481823	黑猩猩
n03445326	镀金板
n03996849	动力转向
n11542137	泥炭藓
n02489166	长鼻猴
n03489162	手工工具
n03683079	锁
n03528100	养老院
n03109881	角落
n04414199	土石
n12281241	桦树
n04406239	电视室
n03473227	陀螺仪
n07755929	香瓜
n04037443	赛车手
n10633450	观众
n04125021	安全的
n01555004	皮塔
n03037404	隔板
n03378765	足球
n12717224	天树
n01584853	赖恩家族
n03786715	迫击炮
n04538552	台钳
n07827410	芝麻
n03300443	以太电缆
n03061211	斗鸡
n03253886	行李袋
n07908647	大茴香
n12806732	梧桐
n11895092	萝卜
n03443149	门柱
n03054901	离合器
n02583890	TETRA
n03045337	斗篷
n04186455	披肩
n04224842	西塔尔
n02101108	西班牙猎犬
n07750146	柚子
n03604156	点唱机
n12814643	加泰罗尼亚
n02704949	圆形剧场
n03864356	悬垂
n03384352	叉车
n02755823	阁楼
n09626238	对等
n12931906	安吉丽卡
n09903153	名人
n12086539	香草
n02813752	火箭筒
n09928136	神职人员
n03436417	礼品店
n09893191	船长
n02421449	羚羊
n04128499	帆船
n02109047	大丹犬
n02132580	灰熊
n03758089	夹层
n12879527	石灰质
n03704549	杂志架
n03430551	齿轮
n04382880	转速表
n11853813	夜绽放的蜡
n03977966	警车
n02764044	斧斧
n03929660	拨片
n09930257	闭合器
n01623615	尖叫猫头鹰
n04038727	支架
n01533339	金丝雀
n04506506	超速离心机
n02093647	贝灵顿猎犬
n03777754	调制解调
n03978966	马球衫
n02963302	卡片索引
n04208210	铲子
n03394480	货车
n12582665	西米掌
n03351434	渔具
n12611640	奈亚德
n02114100	狼
n12049562	卡里普索
n13133613	耳钉小头
n04138261	缎子
n07857170	味噌
n03550153	棚屋
n01792955	小鸡
n03927299	photostat
n02933340	控制台柜
n03079741	隔间
n07807922	水果沙拉
n01606809	库珀的鹰
n09676884	斯拉夫人
n03594945	吉普车
n01677747	海生鬣蜥
n10229883	键盘乐器
n07839312	辣椒酱
n04587559	风车
n02752615	运动支持者
n02946270	宿营椅
n02821202	便盆
n01530439	苍耳雀
n01498041	黄貂鱼
n12785889	石景天
n04587648	窗口
n07725789	雪豆
n03640988	灯笼
n04096066	道路
n01613294	老鹰
n03424489	煤气表
n07865484	周梅因
n02948557	烛台
n07930864	杯子
n02106166	边境牧羊犬
n07643981	凝胶
n02808304	浴巾
n02317335	海星
n03894379	隔板
n01785667	绿叶粉虱家蜈蚣
n09359803	山
n12546183	羽扇豆羽扇豆
n03850245	手术室或手术室
n02960903	玻璃瓶
n03859170	舷外机动船
n03495039	马具
n01627424	两栖动物
n03606251	旧货商店
n04540053	排球
n02391049	斑马
n12198286	中国梧桐
n04520382	厢式货车
n03177165	脱毛剂
n03043958	削减
n03015254	衣柜
n07935379	乌龙
n04461437	市政厅
n12662772	咖啡
n01667778	鳖
n10486166	保镖
n03098959	控制塔
n10249459	律师
n11709205	八角
n02313008	女王
n02699629	祭坛
n02493509	提提
n04232800	天窗
n03277771	电子设备
n07936263	饮用水
n12805146	咖喱
n03904909	削皮机
n07816164	罗勒
n02919648	粪
n12862512	羽衣兰属
n03438257	玻璃
n02526121	鳗鱼
n03719053	豪宅
n09858165	黑带
n03566193	焚烧炉
n03610682	kepi
n02776205	诱饵
n03467984	枪
n07929351	咖啡豆
n03948459	手枪
n11674332	花序
n01322221	宝贝
n02699494	祭坛
n04214282	边角器
n10076604	猎鹰
n02013177	美洲鹤
n02413593	汉普郡
n04571292	重量
n01664065	loggerhead
n03404149	毛皮
n03946162	管件
n02416880	比利
n01821869	布基里加
n04131690	盐瓶
n13232779	蜂蜜蘑菇
n10155849	美发师
n02887489	吊带
n03446070	高尔夫俱乐部
n07907548	苏格兰威士忌
n11989393	雪绒花
n04524313	车辆
n07642933	果酱
n03205574	连衣裙
n03343560	火
n07687211	白面包
n03909160	钟摆
n03045228	快船
n03835197	裸体
n02355227	松鼠
n03267696	有弹力的
n09620078	居民
n01581984	克拉克胡桃夹子
n03581125	十字路口
n01533000	紫雀
n01839086	绿啄木鸟
n12449296	卡马斯
n02432983	麋鹿
n12902662	夜茉莉花
n12116429	果园草
n00005787	底栖生物
n04250850	通气管
n04124202	马鞍毯
n02424305	库杜
n02977936	赌场
n04018667	公共厕所
n03770679	小型货车
n09246464	悬崖
n07760859	奶油苹果
n04264628	空格键
n03094159	隐形眼镜
n03206282	迪斯科舞厅
n03068998	衣领
n07615671	香草冰淇淋
n01591301	白胸Nuthatch
n01579410	鲁克
n04206225	射击玻璃
n01572489	巴尔的摩黄莺
n09942970	委任官员
n11820965	无花果万寿菊
n07586604	豌豆汤
n01854415	梅甘瑟
n03811295	鹦鹉螺
n03201208	餐桌
n03100346	敞篷沙发床
n10092794	第一夫人
n04123567	袋装
n07929519	爪哇咖啡
n09433839	海岸线
n03610524	狗舍
n07611839	慕斯
n02123478	安哥拉猫
n03306385	快递
n02050004	格雷布
n02824448	钟
n07697313	奶酪汉堡
n03113657	服装
n04257986	太阳能电池
n12743352	龙眼
n01338685	疱疹
n09403211	散热器
n10002760	示威者
n12709901	柑橘
n00021265	营养食物
n03376159	羊圈羊圈羊圈
n04554406	洗衣板
n02742753	箭头
n03084420	计算机电路
n04555291	洗手间
n03908204	铅笔
n03157348	钹
n03584254	iPod
n03757604	节拍器
n03779370	模具
n04477219	跑步机
n03329663	渡船
n07739506	吃苹果
n03908618	铅笔盒
n10500217	女王
n04052757	随机存取存储器
n03563967	实施
n02390015	詹妮
n04239074	推拉门
n03602883	操纵杆
n03062015	鸡尾酒裙
n01727646	蛇
n07606669	果冻豆
n10340312	音乐家
n07932841	茶叶
n07690019	法兰克福面包
n04114844	路由器
n09767197	演员
n12658308	罗文
n03128519	乳霜
n03558176	溜冰场
n03281145	电梯
n02402425	牛
n02108915	法国斗牛犬
n10375314	老太太
n09874725	新娘
n12088223	山药
n12086012	万达
n02030035	菲洛马丘斯·普涅克斯·拉夫
n04258438	太阳房
n04502670	高音喇叭
n02115096	豺狼
n09437454	斜坡
n07561112	饮食
n04269822	呕吐
n03511175	篱笆篱笆
n04508489	内裤
n03273913	电冰箱
n12709688	葡萄柚
n03092166	温室
n03302938	排气
n04181228	卸扣
n14915184	冰
n02404186	牛肉
n01662622	龟头爬行动物
n04270891	矛
n04270371	扬声器电话
n12020507	万寿菊
n03437741	格林厄姆
n03442756	目标
n03355768	酒壶
n04277826	旋转干燥机
n02379329	摩根
n03119396	轿跑车
n00015388	动物
n10645017	士官
n04460130	塔
n02086240	石子
n04451818	工具
n03055857	马车房
n07682477	英国松饼
n04539794	薄纱
n07903962	格拉帕
n12328398	韭菜
n10092488	一垒手
n03154073	刀具
n07696839	俱乐部三明治
n07937461	库斯库斯
n02837789	比基尼
n07745940	草莓
n10419785	彼得潘
n04504141	两件套
n03336282	花样滑冰
n09606527	异常
n07924033	果汁
n11758799	珊瑚木
n02709637	锚链
n03753077	米
n02508213	普通浣熊
n10159533	悬挂滑翔机
n02740300	装甲运兵车
n03927091	显微照片
n03668488	灯船
n07755707	甜瓜
n09468604	谷谷
n07753275	菠萝
n02806088	堡垒
n04073948	回廊宗教住宅
n10120330	垃圾工
n11690455	花瓣
n03254862	扬琴
n10679174	外科医生
n03992325	杂烩
n03948242	活塞
n09641002	白人
n03272562	电力机车
n04019541	冰球
n02869837	阀盖
n07596684	甜食
n03385557	防御工事
n02568959	石斑鱼
n12461466	绵苔
n02620578	射箭鱼
n12806015	醋栗
n07754451	面包果
n04275548	蜘蛛网
n09913593	啦啦队长
n10299250	司仪
n01567879	威尔逊的莺
n02757061	音频CD
n11966083	黛西·弗拉巴尼
n03775388	搅拌机
n12761284	芒果
n03110669	短号
n03029197	教堂塔楼
n04232153	头盖
n03356858	法兰缘
n03697007	伐木厂
n02382204	黑客
n01603600	蜡翅
n01942869	鲍鱼
n01968897	有腔鹦鹉螺
n01632601	虎纹蝾螈
n03113835	服装
n04295081	稳定齿轮
n09239302	洞窟
n02767433	靠背
n03208556	磁盘
n02843276	鸟笼
n03057021	外套
n03513137	头盔
n01674990	壁虎
n03414162	游戏设备
n12947313	普通白山茱萸
n09636339	黑人
n03919289	杵
n10247358	小姑娘
n09274152	悬崖
n04264765	太空舱
n03259505	住宅
n03032252	电影院
n03934042	码头
n02041875	黑背鸥
n07886572	酿造
n04528079	铜绿
n09991867	亲爱的
n03272010	电吉他
n10082687	羽量级
n04161358	座位
n12606545	白花蛇舌草
n02191773	吹飞
n01443537	金鱼
n03679384	生活区
n01991028	斯莱特·伍德罗兹
n03262932	安乐椅
n02871005	书本
n03532672	钩爪
n07844042	牛奶
n02656670	海洋太阳鱼
n07823951	咖喱
n12767648	漆树
n04256520	沙发
n02942699	照相机
n03555564	皮下注射针
n04523525	拱顶
n02291748	衣蛾
n09366317	自然高程
n02445715	臭鼬
n02787622	班卓琴
n09428293	海岸
n02669723	学术服
n02099849	切萨皮克湾寻回犬
n03412058	美术馆
n04290615	人造卫星
n03085013	电脑键盘
n01943087	奥默尔
n01944390	蜗牛
n04509260	不均匀的平行钢筋
n03938244	枕头
n03325088	龙头
n02852360	泡罩包装
n07592481	焖牛肉
n04591517	风力涡轮机
n04028581	塔架
n01640846	真青蛙
n09932508	煤矿工人
n02079851	港印
n03078802	通勤列车
n10167152	重量级人物
n02958343	汽车
n02872529	增压器
n02683323	阿富汗
n09894143	红衣主教
n02869249	骨头
n04489817	抹刀
n09743792	戈弗·明尼苏达
n04160847	探照灯
n03096960	控制器
n03577672	拦截器
n02112826	柯基
n11825351	鸡冠花
n04497570	束腰外衣
n08596076	滨海
n04465501	拖拉机
n03435593	测地线穹顶
n01906749	海绵
n03148727	冲天炉
n04520170	厢式货车
n02747802	烟灰缸
n03425769	气环
n10223177	赛马骑师
n02169023	索耶
n10260706	生活
n12142085	小麦
n10004718	系主任
n01924916	扁虫
n04336792	担架
n02790996	杠铃
n10279018	机械师
n02174001	犀甲虫
n07867164	法拉费
n03916031	香水
n10300303	伙伴
n03733805	量杯
n05450617	组织细胞
n04256891	垒球
n04374735	会堂
n01532511	松树西斯金
n11786539	香芋
n04559730	水表
n09818022	宇航员
n04053508	测距仪
n11621547	欧洲银杉
n07755089	可可
n04593077	翼椅
n03732020	毛瑟
n04067818	食堂
n10780284	寡妇
n02110063	马拉默特
n02758134	礼堂
n02126640	马盖伊
n02976939	钱箱
n03859495	外套
n02140049	狐蝠
n04501550	转台
n04385799	尾旋翼
n02984061	大教堂
n04349306	地铁列车
n12493208	角豆树
n04413969	梯田住宅
n02066245	灰鲸
n04573281	沿条
n09450163	太阳
n07609632	松露
n01589286	爬行动物
n03365991	楼层
n03120778	法庭
n03565830	篮子里
n01532829	雀巢
n11628793	绿道格拉斯冷杉
n03224603	老虎窗
n02593019	金丝雀鲷
n11672400	野花
n09800964	被任命者
n02333909	黑鼠
n11508382	雪
n07727048	菜豆
n03984234	瓷器
n10091651	消防员
n04592099	酒杯
n02104523	牧羊犬
n03599486	金日基沙
n01970667	纸张Nautilus
n07883251	一剂
n09229709	气泡
n04330267	火炉
n01730812	赛车手
n10696508	技术员
n07827284	藏红花
n02689144	机体
n02112137	周小川
n02640242	鲟鱼
n04068601	反射望远镜
n02738031	军备
n02588286	咕噜声
n07744682	红醋栗
n03703862	马德拉斯
n10575463	种子选手
n07844604	牛奶
n04446276	厕所
n10570019	秘书
n12157769	葫芦
n12858150	莫纳达
n04575824	轮轴
n01848555	阿纳斯·奎奎杜拉·加格尼
n01613615	幼鸟
n07747607	橙色
n03899768	露台
n01616764	旧大陆秃鹰
n04379243	桌子
n07754684	杰克
n02900705	公文包
n01464844	卵黄卵黄
n07587023	浓汤
n03482252	吊床
n03251766	干燥机
n04374315	剑棍
n04467665	拖车
n02124623	野猫
n04237423	切片机
n03767745	尖塔
n09836519	斗牛士
n11943660	普通万寿菊
n03631177	花边
n03891051	风衣
n12020736	非洲万寿菊
n02892948	黄铜滚花
n10017272	唱片主持人
n03262072	耳塞
n10091450	消防队员
n12648045	桃子
n12827537	月花
n02759387	旋翼机
n03685307	洛奇
n03001627	椅子
n07768694	石榴
n01534582	黑眼朱科
n02962200	化油器
n04598965	纬纱
n09416890	屋顶
n03133050	钩针
n04479823	栈桥
n02213107	黄蜂
n03086670	手风琴
n04457767	变矩器
n09872066	吹牛者
n03945615	管
n03417749	花园
n04587404	风车
n01619310	秃鹰
n02129604	老虎
n03557590	制冰机
n02139199	蝙蝠
n09287968	地质构造
n02580679	马鲭
n13040303	臭角
n01775370	欧洲狼蛛
n04471632	晶体管
n03479397	住宅大厅
n12171966	秋葵
n10631309	扬声器
n10732010	小号手
n13044778	地球之星
n01743086	巨蟒
n12023726	棕褐色
n04042358	射线照片
n02849154	毯子
n02403231	阉牛
n01963571	贻贝
n02891188	制动系统
n07814634	孜然
n02835271	双联自行车
n07686873	干杯
n03976657	极
n02442845	水貂
n01592084	山雀
n04532670	高架桥
n11876432	芽甘蓝
n04465358	牵引发动机
n13055577	美味牛肝菌
n10512372	招募
n04261767	测深仪
n10707233	治疗师
n04001265	压力锅
n04525305	自动售货机
n11855274	美洲商陆
n03721590	玛丽娜
n03770439	迷你裙
n07698250	陀螺仪
n03563460	叶轮
n12279458	黑橡木
n01570267	奥文伯德
n01407798	绿藻
n02376918	雄马
n02437136	骆驼
n03519081	打火机
n09406793	暗礁
n09917593	孩子
n02127052	猫猞猁
n01443831	鲫鱼
n03666591	点火器
n04539203	鸟类群落
n07617188	布丁
n02672371	住宿
n03004824	圣坛
n07612996	布丁
n10225219	法官
n02959942	车厢
n03118969	乡间别墅
n03401279	燃油喷射
n04110178	玫瑰窗
n04058239	只读存储器
n12168565	半边莲
n12877244	金鱼草
n04371563	泳衣
n02437616	美洲驼
n03649909	割草机
n03958752	保鲜膜
n03541696	旅馆
n02280649	卷心菜蝴蝶
n04583620	宽体飞机
n07575076	午餐
n07599911	花生脆
n04081844	约束
n04108268	绳
n02931417	夜总会
n01538059	芦苇丛生
n13110915	坚果树
n03454885	磨碎机
n04067472	卷轴
n03070193	对撞机
n03363749	火枪
n10421016	法老
n03404360	裘皮帽
n03221059	多米诺
n02978881	盒式录音带
n04599235	羊毛
n03079136	小型
n07861158	制面包的面团
n02804610	巴松管
n01629276	蝾螈
n03247083	滴管
n03146777	裙裤
n04548362	钱包
n03800933	乐器
n04115256	排屋
n11792341	鸡血藤
n11887119	墙花
n01527194	重音
n11876803	西兰花
n07819166	薄荷
n11931540	普通艾蒿
n07744811	黑莓
n07840804	鸡蛋
n02512053	鱼
n04347519	冲锋枪
n03089624	糖果店
n01968315	头足类
n02896442	马裤
n02093428	美国斯塔福德郡梗
n04318787	栅栏
n03434188	发电机
n02935658	咖啡馆
n12915140	马缨丹属
n10324560	模型
n01579028	乌鸦
n03957420	石膏
n07856270	涂抹
n01838598	啄木鸟
n04095342	铆钉
n10360747	非士官
n07816296	月桂叶
n04350581	糖碗
n11892181	弗吉尼亚股票
n04568841	织带
n03268790	电动
n07920349	卡布奇诺
n07680517	面包棒
n09288635	间歇泉
n12400489	面包果
n12904314	天仙子
n02112706	布拉班肯·格里芬
n02332156	家鼠
n03099945	转换器
n03908714	卷笔刀
n02810471	电池
n13003254	死亡帽
n04184316	山东
n12711596	柠檬
n04452615	工具箱
n01581166	加拿大杰伊
n07719839	甜菜根
n07690511	玉米松饼
n04450749	钳子
n01521399	美洲瑞亚
n01844917	水鸟
n01568892	黄莺
n05259914	辫子
n03593526	罐子
n01469103	海鞘
n02863750	锅炉
